outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes,analysis_tier,core_inclusion,source_file,source_row_number
NY041,Black Star News,,New York City,https://blackstarnews.com/,yes,yes,partly,Black/African diaspora-oriented news outlet,African and Black diaspora coverage; broader Black politics/news mission,boundary_comparison,https://blackstarnews.com/,Potential African-diaspora comparison; not clearly immigrant-serving as primary mission.,contextual_noncore,no,data/verification/new_york_verification_v1.csv,42
CT005,Brazilian Times II - Connecticut circulation,,Statewide / New England,https://www.braziliantimes.com/,yes,yes,yes,Brazilian Portuguese newspaper based in Massachusetts with Connecticut circulation,publisher identifies Connecticut as part of Brazilian Times II circulation,multistate_market_case,https://www.braziliantimes.com/quem-somos,Do not count as Connecticut-based newsroom.,contextual_noncore,no,data/verification/connecticut_verification_v1.csv,6
MD005,Brazilian Times II - Maryland circulation,,DMV / statewide,https://www.braziliantimes.com/,yes,yes,yes,Brazilian Portuguese newspaper based in Massachusetts with Maryland circulation,publisher states Brazilian Times II expanded to Maryland in 2019,multistate_market_case,https://www.braziliantimes.com/quem-somos,Do not count as Maryland-based; useful Brazilian diaspora market case.,contextual_noncore,no,data/verification/maryland_verification_v1.csv,6
NY040,BronxNet community immigrant-language programming,,Bronx / NYC,https://bronxnet.org/,yes,yes_at_program_level,yes_at_program_level,community access media host/platform,multilingual/community programming; Bronx nonprofit media infrastructure,classify_host_program_level,https://bronxnet.org/,Important host infrastructure. Identify individual sustained immigrant-language journalism programs before counting outlets.,other_review_status,no,data/verification/new_york_verification_v1.csv,41
NM004,Camino Real,,Santa Fe / New Mexico-El Paso market,,unclear_nm_base,yes_or_legal_notice,yes,Spanish-language print outlet/market publication,recognized in New Mexico statute as official Spanish newspaper; ecosystem report identifies Camino Real print in El Paso,multistate_or_location_resolution,https://law.justia.com/codes/new-mexico/chapter-14/article-11/section-14-11-13/,Do not count as New Mexico-based until office/publication base is resolved.,other_review_status,no,data/verification/new_mexico_verification_v1.csv,5
NY034,Caribbean American Weekly,,New York City,,unclear_current_operation,unclear,yes,Caribbean diaspora publication,known Caribbean-community title; current site/cadence not verified,pending_verification,,Retain candidate pending current direct evidence.,pending_verification,no,data/verification/new_york_verification_v1.csv,35
NY033,Caribbean Life,,Brooklyn / NYC,https://www.caribbeanlife.com/,yes,yes,yes,Caribbean community newspaper/digital outlet,current Caribbean/NY local coverage; diaspora audience; network ownership visible,verified_include,https://www.caribbeanlife.com/,Strong Caribbean diaspora community case.,core_verified,yes,data/verification/new_york_verification_v1.csv,34
NY036,Caribbean People,,New York City,,unclear_current_operation,unclear,yes,Caribbean community media outlet,directory-level candidate only,pending_verification,,Retain candidate; verify exact outlet identity and current publication.,pending_verification,no,data/verification/new_york_verification_v1.csv,37
NY035,Caribbean Times,,New York City,,unclear_current_operation,unclear,yes,Caribbean community newspaper,candidate identity exists in ethnic-media directories; current operation unclear,pending_verification,,Do not include until 2026 activity is confirmed.,pending_verification,no,data/verification/new_york_verification_v1.csv,36
NJ006,Central Desi,,Statewide,https://centraldesi.beehiiv.com/,yes,yes,yes,community-run South Asian news platform,launched in 2022 specifically to tell nuanced stories of New Jersey's South Asian communities,verified_include,https://centraldesi.beehiiv.com/about-us,Excellent community-focused South Asian journalism case.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,7
IA003,Common Thread Iowa,,Statewide,,launching_2026,yes_social_first,yes,social-first immigrant/refugee reporting project within New Day Iowa,launched July 2026 to cover Iowa refugee and immigrant communities overlooked by mainstream coverage,verified_include_hosted_program,https://iowastartingline.com/news/common-thread-iowa-refugee-stories/,Important emerging immigrant-focused newsroom/program; verify direct site/social channels in deeper pass.,core_verified,yes,data/verification/iowa_verification_v1.csv,4
AZ001,Conecta Arizona,,Phoenix / Arizona-Sonora,https://conectaarizona.com/,yes,yes,yes,independent nonprofit bilingual/digital newsroom,current 2026 reporting; founder-led; explicit Hispanic-community and Arizona-Sonora mission; immigration coverage,verified_include,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,Excellent immigrant-serving nonprofit case.,core_verified,yes,data/verification/arizona_verification_v1.csv,2
CT007,Connecticut Brazilian/Danbury community media lead,,Danbury / Fairfield County,,unresolved,unresolved,likely_yes_if_found,unresolved Portuguese/Brazilian media lead,first-pass search did not establish a distinct current Danbury-based newsroom separate from regional Brazilian media,hold_unresolved,,Retain for deeper Portuguese radio/print/social-media search; do not infer absence.,hold_for_review,no,data/verification/connecticut_verification_v1.csv,8
CT004,ConnecticutLatino.com,,Statewide,https://www.connecticutlatino.com/,yes,mixed_news_directory,yes,Spanish-language statewide information/news portal,current site provides Connecticut news services events and directories for Latino/Hispanic communities,verified_include_mixed_format,https://www.connecticutlatino.com/,Hybrid portal; assess original reporting share in deeper pass.,core_verified,yes,data/verification/connecticut_verification_v1.csv,5
CT003,CT Mirror en Español,,Statewide,https://ctmirror.org/espanol/,yes,yes,yes_language_service,Spanish-language local-news product within nonprofit CT Mirror,current Spanish coverage created in partnership with Identidad Latina Multimedia,verified_include_hosted_language_product,https://ctmirror.org/espanol/,Important collaborative/hosted language-access model.,core_verified,yes,data/verification/connecticut_verification_v1.csv,4
IA005,Denison Free Press immigrant-community crossover,,Denison,https://www.denisonfreepress.com/,yes,yes,partly,general English-language local newspaper sharing ownership with La Prensa,same publisher and office as La Prensa; not primarily immigrant-serving by mission,boundary_comparison,https://www.denisonfreepress.com/about-us/,Useful institutional comparison but not core immigrant outlet.,contextual_noncore,no,data/verification/iowa_verification_v1.csv,6
NY016,Desi Talk New York,,NY-NJ-CT metro,https://desitalk.com/,yes,yes,yes,Indian-American weekly within Parikh Worldwide Media,explicit NY-NJ-CT edition; shared parent/staff; weekly publication,move_to_new_jersey_or_multistate,https://newsindiatimes.com/about-us/,Serve New York strongly but parent/corporate base is New Jersey. Preserve as NY-market outlet with NJ host.,other_review_status,no,data/verification/new_york_verification_v1.csv,17
NJ008,Desi.Net Edison,,Edison,https://desi.net/edison/,yes,yes_digital_summary,yes,local South Asian digital news vertical within Desi.Net network,active 2026 original local summaries focused on Edison South Asian community,verified_include_network_local_vertical,https://desi.net/edison/news/edison-edison-nj-roundup-drowning-tragedy-india-day-parade-and-desi-dining-guide-2026-08-24,Useful social/digital network-local model.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,9
NY045,Diario Las Américas New York presence candidate,,,https://www.diariolasamericas.com/,yes,yes,yes_latino,Spanish-language newspaper based in Florida,no distinct New York-based operation established,exclude_from_new_york,,Do not count in New York state frame absent a distinct NY operation.,other_review_status,no,data/verification/new_york_verification_v1.csv,46
NY001,Documented,,New York City,https://documentedny.com/,yes,yes,yes,independent nonprofit immigrant newsroom,nonprofit; team; board; supporters; ethics/editorial policies; multilingual reporting,verified_include,https://documentedny.com/about-us/,Excellent core case: explicitly reports with and for immigrant communities in NYC.,core_verified,yes,data/verification/new_york_verification_v1.csv,2
KS004,Dos Mundos,,Kansas City metro / serves KCK,https://dosmundos.com/,yes,yes,yes,"bilingual weekly newspaper based in Kansas City, Missouri",45-year immigrant-serving newsroom; explicitly serves Greater Kansas City Hispanic and immigrant communities including KCK,multistate_market_case,https://dosmundos.com/dos-mundos-continues-founders-legacy-while-looking-to-the-future/,Do not count as Kansas-based newsroom; retain as major Kansas-market-serving outlet.,contextual_noncore,no,data/verification/kansas_verification_v1.csv,5
NY008,El Correo NY,,Queens / NYC,http://www.noticiali.com,unclear,unclear,yes,Spanish-language local outlet,candidate appears conflated with Noticia Long Island in discovery,hold_identity_resolution,,Resolve whether this is a distinct outlet or duplicate/legacy name before inclusion.,hold_for_review,no,data/verification/new_york_verification_v1.csv,9
NY005,El Diario / La Prensa,,New York City,https://eldiariony.com/,yes,yes,yes,large commercial Spanish-language multimedia newsroom; ImpreMedia,editorial guidelines; newsroom; NY office; local/immigration mission; network affiliation,verified_include,https://eldiariony.com/about-us/,Strong networked commercial comparison; local and immigration information explicitly core.,core_verified,yes,data/verification/new_york_verification_v1.csv,6
NM006,El Hispano,,Albuquerque,,unclear_current_operation,unclear,yes,Spanish-language newspaper,recognized by state statute as official Spanish-language newspaper but current journalism operation not established,pending_verification,https://law.justia.com/codes/new-mexico/chapter-14/article-11/section-14-11-13/,"Statutory recognition is useful discovery evidence, not sufficient alone for active-frame inclusion.",pending_verification,no,data/verification/new_mexico_verification_v1.csv,7
VA003,El Imparcial News,,Manassas / Northern Virginia / DMV,https://imparcialnews.com/,yes,yes,yes,independent Spanish-language weekly/digital newspaper,Virginia operation since 2001; weekly since 2005; Salvadoran founder/editor; serves Salvadoran and broader Latino community across VA/DC/MD,verified_include,https://imparcialnews.com/about_us/,Excellent immigrant-founded Latino newsroom.,core_verified,yes,data/verification/virginia_verification_v1.csv,4
SC001,El Informador,,Charleston / Hilton Head / Lowcountry,https://www.elinformador.us/,yes,yes,yes,independent minority-owned Spanish-language newspaper,"founded 2008; biweekly 10,000-copy circulation; staff; local/state/national reporting; explicit Latino-community mission",verified_include,https://www.elinformador.us/advertise-with-us/about-us/,"Excellent core case; current 2026 publication, mission, circulation and newsroom structure are clearly documented.",core_verified,yes,data/verification/south_carolina_verification_v1.csv,2
SC016,El Patrón 93.5,,Myrtle Beach,https://elpatron935.iheart.com/,yes,mostly_music,yes,Spanish-language iHeart commercial radio station,active Myrtle Beach Spanish station; programming heavily music-oriented with some community-information posts,comparison_or_exclude_core,https://elpatron935.iheart.com/,Not a strong core newsroom; retain as boundary/comparison Spanish-language media case.,contextual_noncore,no,data/verification/south_carolina_verification_v1.csv,17
AZ014,El Semanario / The Weekly Issue Arizona market,,Statewide,https://www.elsemanario.us/?lang=es,yes,yes,yes,Colorado-based bilingual weekly serving Arizona,publisher states Arizona is one of six national markets,multistate_market_case,https://www.elsemanario.us/?lang=es,Do not count as Arizona-based newsroom; retain as Arizona-serving market case.,contextual_noncore,no,data/verification/arizona_verification_v1.csv,15
NM005,El Semanario / The Weekly Issue New Mexico market,,Albuquerque / statewide,https://www.elsemanario.us/?lang=es,yes,yes,yes,Colorado-based bilingual weekly serving New Mexico market,publisher lists New Mexico among six markets; corporate office in Colorado,multistate_market_case,https://www.elsemanario.us/?lang=es,Market-serving but not New Mexico-based; avoid double counting.,contextual_noncore,no,data/verification/new_mexico_verification_v1.csv,6
NM009,El Semanario de Nuevo Mexico,,Albuquerque,,identity_unclear,unclear,yes,Spanish-language newspaper identity,state statute recognizes title; relationship to The Weekly Issue/El Semanario unresolved,hold_identity_resolution,https://law.justia.com/codes/new-mexico/chapter-14/article-11/section-14-11-13/,Resolve whether this is same as multistate El Semanario before counting.,hold_for_review,no,data/verification/new_mexico_verification_v1.csv,10
MD004,El Tiempo Latino - Maryland service,,Montgomery / Prince George's / DMV,https://eltiempolatino.com/,yes,yes,yes,Spanish-language regional newsroom based in Washington DC,current 2026 coverage explicitly serves DC Maryland and Virginia and includes Maryland state/local reporting,multistate_market_case,https://tiempocompany.com/el-tiempo-latino/,Major Maryland-serving outlet but not Maryland-based.,contextual_noncore,no,data/verification/maryland_verification_v1.csv,5
VA004,El Tiempo Latino - Virginia service,,Northern Virginia / DMV,https://eltiempolatino.com/,yes,yes,yes,Spanish-language regional newsroom based in Washington,DC,active 2026 local coverage and daily newsletter explicitly serving DC,Maryland and Virginia,multistate_market_case,other_review_status,no,data/verification/virginia_verification_v1.csv,5
NY004,Feet in 2 Worlds,,New York City,https://fi2w.org/,yes,yes,yes,independent nonprofit immigrant-journalist news/training organization,mission; INN/LION membership; podcasts/digital stories; donor disclosure; editorial independence,verified_include,https://www.fi2w.org/about-us/,Strong hybrid newsroom/training case centered on immigrant journalists and stories.,core_verified,yes,data/verification/new_york_verification_v1.csv,5
AZ008,Filipino American Journal,,Phoenix / statewide,https://asianmedianetwork.com/,yes_via_parent,yes,yes,biweekly Filipino-American publication under Asian Media Network,parent explicitly lists Filipino American Journal as biweekly affiliate,verified_include_with_parent_evidence,https://asianmedianetwork.com/about-us/,Strong Filipino diaspora candidate; deeper direct-site coding needed.,core_verified,yes,data/verification/arizona_verification_v1.csv,9
FL008,Florida Latino News,,Statewide / South Florida,https://floridalatino.news/,yes,yes_mixed_news_pr,yes,Latino-oriented digital news/community publication,active Sept. 2026 statewide Latino/community coverage; mix includes news,events and promotional/community stories,verified_include_mixed_format,https://floridalatino.news/noticias/,other_review_status,no,data/verification/florida_verification_v1.csv,9
SC019,Fortaleza Cristiana,,Greenville,,unclear_current_operation,unclear,yes,Christian Spanish-language newspaper,state minority-affairs report identifies publication; current direct activity not verified,pending_verification,,Retain candidate; verify current publication and journalism content.,pending_verification,no,data/verification/south_carolina_verification_v1.csv,20
NY026,ForumDaily,,Brooklyn / national,https://www.forumdaily.com/,yes,yes,yes,Russian-language digital newsroom,Brooklyn legal address; journalists in multiple U.S. cities; Russian-speaking America mission; immigration and U.S. news,verified_include,https://www.forumdaily.com/en/contacts/,Very strong Russian-speaking immigrant/diaspora case.,core_verified,yes,data/verification/new_york_verification_v1.csv,27
NY037,Forward,,New York City,https://forward.com/,yes,yes,partly,nonprofit Jewish news organization,nonprofit newsroom; Jewish community/diaspora coverage; English/Yiddish heritage,boundary_comparison,https://forward.com/,"Not primarily immigrant-serving today; retain as diaspora/boundary comparison, not core frame.",contextual_noncore,no,data/verification/new_york_verification_v1.csv,38
NY032,French Morning,,New York City / U.S. network,https://frenchmorning.com/,yes,yes,yes,French-language digital news/media network,active U.S. Francophone news; New York origin/presence; multi-city reach,verified_include,https://frenchmorning.com/,Strong Francophone diaspora/expatriate case.,core_verified,yes,data/verification/new_york_verification_v1.csv,33
SC023,Guía Latina Charleston,,Charleston / Berkeley / Dorchester,,yes_resource,information_resource_not_newsroom,yes,Spanish-language community resource guide tied to Universal Latin News,2026 local reporting documents current guide and connection to Universal Latin News,classify_hosted_information_project,https://www.live5news.com/2026/05/29/2026-gua-latina-charleston-released-lowcountry-spanish-speakers/,Do not count as independent newsroom; preserve as information infrastructure under Universal Latin News.,other_review_status,no,data/verification/south_carolina_verification_v1.csv,24
IA004,Hola America / Quad Cities Iowa market,,Eastern Iowa / Quad Cities,https://holaamericanews.com/,yes,yes,yes,bilingual Latino newspaper/media group based in Quad Cities,founded 2000; explicitly serves western Illinois and eastern Iowa Latino communities,multistate_market_case,https://holaamericanews.com/25-years-of-hola-america-a-legacy-of-service-growth-and-community/,Retain as Iowa-serving market case; avoid double-counting with Illinois.,contextual_noncore,no,data/verification/iowa_verification_v1.csv,5
IA002,Hola Iowa,,Des Moines / statewide,https://holaamericanews.com/,yes,yes,yes,bilingual Latino digital/news brand within Hola America Media Group,active Sept. 2026 Iowa reporting; parent group describes mission to inform and uplift Latino communities across Iowa and the Midwest,verified_include,https://holaamericanews.com/25-years-of-hola-america-a-legacy-of-service-growth-and-community/,Strong statewide Latino news case.,core_verified,yes,data/verification/iowa_verification_v1.csv,3
CT002,Identidad Latina Multimedia,,Hartford / statewide,https://identidadlatina.com/,yes,yes_mixed_multimedia,yes,Latino multimedia organization with print web social and radio,founded 2001 in Hartford; daily web updates bimonthly print magazine and explicit mission to inform/empower Connecticut Latino community,verified_include_mixed_format,https://identidadlatina.com/about-us/,Excellent long-running Latino multimedia case.,core_verified,yes,data/verification/connecticut_verification_v1.csv,3
CT006,Identidad Latina Radio,,Hartford / statewide,https://identidadlatina.com/,yes_via_parent,yes_mixed_radio,yes,radio product within Identidad Latina Multimedia,current parent homepage identifies Identidad Latina Radio as part of multimedia operation,verified_include_hosted_program,https://identidadlatina.com/,Link to CT002 host; do not double-count organization.,core_verified,yes,data/verification/connecticut_verification_v1.csv,7
NY006,Impacto Latino,,New York City,https://impactolatino.com/,yes,yes,yes,Spanish-language Latino community newspaper/digital outlet,active 2026 news; founded 1967; explicit immigrant/Hispanic service mission,verified_include,https://impactolatino.com/,Strong longstanding immigrant-serving case.,core_verified,yes,data/verification/new_york_verification_v1.csv,7
KS006,Informativo Hispano Americano,,Dodge City,,inactive_print,historically_yes,yes,historic bilingual local newspaper,Kansas Reflector reported print publication ended during COVID-19 period though Facebook remained active,exclude_inactive_archive,https://kansasreflector.com/2020/11/15/latino-kansans-work-to-fill-spanish-speaking-news-media-and-information-gap/,"Historical ecosystem case, not active core.",other_review_status,no,data/verification/kansas_verification_v1.csv,7
SC020,InSouth Magazine,,Greenville / statewide,https://www.insouthmagazine.com/,unclear_current_operation,mixed_magazine_content,yes,Latino/community magazine,state media guide identifies outlet; direct current journalism role not firmly established,pending_verification,,Retain candidate pending current activity and journalism verification.,pending_verification,no,data/verification/south_carolina_verification_v1.csv,21
FL002,Island TV,,Miami-Dade / South Florida,https://islandtv.tv/,yes,yes,yes,Caribbean/Haitian television network,current 2026 Haitian Creole news,local South Florida community reporting and Haiti-focused political/current-affairs programming,verified_include,https://ondemand.islandtv.tv/news,other_review_status,no,data/verification/florida_verification_v1.csv,3
NY038,Jewish Telegraphic Agency,,New York City,https://www.jta.org/,yes,yes,partly,nonprofit Jewish global news service,sustained journalism; Jewish/diaspora focus; global network,boundary_comparison,https://www.jta.org/,Important diaspora-media comparator but not clearly immigrant-serving under core inclusion rule.,contextual_noncore,no,data/verification/new_york_verification_v1.csv,39
NY020,K-Radio AM 1660,,New York City,,likely_yes,yes_mixed_format,yes,Korean-American radio station,Korean-language community broadcast identity; news/public-affairs share requires deeper check,pending_deeper_verification,,"Retain; verify current ownership, schedule and journalism share.",pending_verification,no,data/verification/new_york_verification_v1.csv,21
KS005,KC Hispanic News,,Kansas City metro / serves KCK,https://www.kchispanicnews.com/,yes,yes,yes,"bilingual weekly newspaper based in Kansas City, Missouri","current 2026 weekly includes Kansas City, Kansas community coverage",multistate_market_case,https://www.kchispanicnews.com/,Market-serving but not Kansas-based.,contextual_noncore,no,data/verification/kansas_verification_v1.csv,6
NY014,Khasokhas,,Queens / NYC,https://www.khasokhas.com/,yes,yes,yes,Nepali community news portal/weekly,ownership; weekly frequency; Queens-centered immigrant audience; explicit U.S. Nepali community mission,verified_include,https://www.khasokhas.com/about-us,Excellent core immigrant-media case.,core_verified,yes,data/verification/new_york_verification_v1.csv,15
NM003,KMVR-FM,,Deming / Southwest New Mexico,,yes_station_presence,yes,yes,Spanish-language local radio news outlet,2025 ecosystem study identifies KMVR-FM as one of four outlets providing local news in Spanish,verified_include_with_ecosystem_evidence,https://iprsoftwaremedia.com/175/files/202511/NewsMapFullReport.pdf,Important non-metro Spanish-language radio case; deeper programming/ownership coding needed.,core_verified,yes,data/verification/new_mexico_verification_v1.csv,4
NJ010,Korea Daily / Korea Times NJ market,,Bergen / North Jersey,,yes_market_presence,yes,yes,regional Korean-language dailies serving New Jersey,strong New Jersey audience/coverage but newsroom-base identity unresolved in this pass,multistate_market_case,https://kaanj.org/,Retain for location-resolution; avoid double-counting regional NY/NJ editions.,contextual_noncore,no,data/verification/new_jersey_verification_v1.csv,11
NY018,Korea Daily New York,,Bayside / Queens,http://koreadailyny.com,yes,yes,yes,Korean-language community daily/edition,NY headquarters/address; explicit immigrant-life information mission; Korean-community advocacy,verified_include,https://yp.koreadaily.com/detail/301?bra_code=NY,Strong Korean immigrant-serving case.,core_verified,yes,data/verification/new_york_verification_v1.csv,19
VA002,Korea Daily Washington,,Annandale / Northern Virginia / DMV,https://www.koreadaily.com/,yes_via_current_directory,yes,yes,Korean-language daily/news operation within Korea Daily network,current Annandale office and contact listed; established Korean community news brand,verified_include_with_directory_evidence,https://www.waze.com/live-map/directions/korea-daily-washington-little-river-tpk-7023-annandale?to=place.w.185336196.1853427499.962000,Retain; deeper pass should verify current local edition/staff directly.,core_verified,yes,data/verification/virginia_verification_v1.csv,3
NY019,Korea Times New York,,New York City / Queens,https://www.koreatimes.com/,likely_yes,yes,yes,Korean-language metropolitan daily/edition,established New York edition; Korean-community readership; direct local institutional detail limited,verified_include_with_secondary_evidence,,Include with later deeper institutional coding.,core_verified,yes,data/verification/new_york_verification_v1.csv,20
VA001,Korea Times Washington,,Annandale / Northern Virginia / DMV,,yes_via_current_directory,yes,yes,Korean-language daily newspaper within Korea Times network,Virginia Humanities documents five-day print plus Saturday e-edition,local newsroom staff and Annandale base serving Korean-American diaspora,verified_include_with_secondary_evidence,https://virginiahumanities.org/2023/05/a-korean-language-daily-bridges-the-gap-for-those-new-to-america/,other_review_status,no,data/verification/virginia_verification_v1.csv,2
NJ003,Korean Bergen News,,Bergen County,https://kbergennews.com/,yes,yes,yes,local Korean-language print/digital newspaper,publisher states weekly publication since 1996 and exclusive Bergen County Korean-community focus,verified_include,https://kbergennews.com/posts/why-korean-bergen-news-en,Excellent local Korean diaspora newsroom.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,4
NY028,Kurier Plus,,New York City,https://www.kurierplus.com/,yes,yes,yes,Polish-language weekly newspaper,current 2026 weekly issues; New York/Polonia coverage,verified_include,https://www.kurierplus.com/,Strong active Polish diaspora case.,core_verified,yes,data/verification/new_york_verification_v1.csv,29
KS002,KWCH Spanish-language news program,,Wichita / statewide,https://www.kwch.com/,yes,yes_program_level,yes,Spanish-language local television news program within KWCH,KWCH journalist bio states Ana Valdez launched the station's Spanish-language news program,verified_include_hosted_program,https://www.kwch.com/authors/AnaValdez/,Strong hosted/network newsroom case; identify program title/schedule in deeper pass.,core_verified,yes,data/verification/kansas_verification_v1.csv,3
KS007,La Estrella,,Dodge City,,historical_or_unclear,historically_yes,yes,Spanish-language weekly associated with Dodge City Daily Globe,historical Kansas Press documentation confirms publication; current 2026 status not established,pending_verification,https://kspress.com/sites/default/files/kspub0903.pdf,Retain pending current verification.,pending_verification,no,data/verification/kansas_verification_v1.csv,8
AZ013,La Estrella de Tucsón,,Tucson,,inactive_or_diminished,historically_yes,yes,historic Spanish-language newsroom,Tucson Spotlight documents rise and decline of immigrant-led original Spanish journalism,exclude_inactive_archive,https://www.tucsonspotlight.org/inside-la-estrella-de-tucsons-early-years/,"Preserve as historical ecosystem case, not active core unless current operation is independently established.",other_review_status,no,data/verification/arizona_verification_v1.csv,14
KS003,La Grande 1340 AM,,"Kansas City, Kansas / metro",https://lagrande1340kc.com/,yes,mixed_news_entertainment,yes,Spanish-language commercial/community radio,"station states mission to serve Latino community and includes local news, community events and Spanish-language sports alongside music",verified_include_mixed_format,https://lagrande1340kc.com/,Eligible mixed-format case.,core_verified,yes,data/verification/kansas_verification_v1.csv,4
SC004,La Isla Magazine,,Hilton Head / Charleston / Lowcountry,https://www.laislamagazine.com/,current_listing,yes,yes,bilingual/Spanish magazine-newspaper and online outlet,listed by South Carolina DPH; Harvard Spanish-media study identifies monthly print and daily digital operation,verified_include_with_secondary_evidence,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Eligible; direct institutional details should be added later.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,5
SC014,La Jefa 94.9 / 1070 AM,,Greenville / Spartanburg / Anderson,https://lajefa949.com/,yes_station,mostly_music_with_community_info,yes,Spanish-language commercial radio station,current Spanish-language regional Mexican/contemporary station serving Upstate market,comparison_or_mixed_format,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Keep as mixed-format comparison; sustained journalism not clearly established.,contextual_noncore,no,data/verification/south_carolina_verification_v1.csv,15
SC015,La KeBuena 1430,,Hilton Head / Bluffton / Beaufort,https://kebuena1430.com/,current_listing,unclear_news_share,yes,Spanish-language commercial/community radio station,South Carolina DPH lists active Lowcountry coverage,pending_deeper_verification,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Retain; verify journalism/public-affairs content before core inclusion.,pending_verification,no,data/verification/south_carolina_verification_v1.csv,16
SC024,La Mega Nota SC market candidate,,Upstate / regional,,unresolved,unresolved,likely_yes,unresolved Spanish-language regional media candidate,no distinct South Carolina operation established in this pass,hold_unresolved,,Retain candidate only until a specific current SC operation is identified.,hold_for_review,no,data/verification/south_carolina_verification_v1.csv,25
