outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes,analysis_tier,core_inclusion,source_file,source_row_number
NJ008,Desi.Net Edison,,Edison,https://desi.net/edison/,yes,yes_digital_summary,yes,local South Asian digital news vertical within Desi.Net network,active 2026 original local summaries focused on Edison South Asian community,verified_include_network_local_vertical,https://desi.net/edison/news/edison-edison-nj-roundup-drowning-tragedy-india-day-parade-and-desi-dining-guide-2026-08-24,Useful social/digital network-local model.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,9
NY001,Documented,,New York City,https://documentedny.com/,yes,yes,yes,independent nonprofit immigrant newsroom,nonprofit; team; board; supporters; ethics/editorial policies; multilingual reporting,verified_include,https://documentedny.com/about-us/,Excellent core case: explicitly reports with and for immigrant communities in NYC.,core_verified,yes,data/verification/new_york_verification_v1.csv,2
NY005,El Diario / La Prensa,,New York City,https://eldiariony.com/,yes,yes,yes,large commercial Spanish-language multimedia newsroom; ImpreMedia,editorial guidelines; newsroom; NY office; local/immigration mission; network affiliation,verified_include,https://eldiariony.com/about-us/,Strong networked commercial comparison; local and immigration information explicitly core.,core_verified,yes,data/verification/new_york_verification_v1.csv,6
VA003,El Imparcial News,,Manassas / Northern Virginia / DMV,https://imparcialnews.com/,yes,yes,yes,independent Spanish-language weekly/digital newspaper,Virginia operation since 2001; weekly since 2005; Salvadoran founder/editor; serves Salvadoran and broader Latino community across VA/DC/MD,verified_include,https://imparcialnews.com/about_us/,Excellent immigrant-founded Latino newsroom.,core_verified,yes,data/verification/virginia_verification_v1.csv,4
SC001,El Informador,,Charleston / Hilton Head / Lowcountry,https://www.elinformador.us/,yes,yes,yes,independent minority-owned Spanish-language newspaper,"founded 2008; biweekly 10,000-copy circulation; staff; local/state/national reporting; explicit Latino-community mission",verified_include,https://www.elinformador.us/advertise-with-us/about-us/,"Excellent core case; current 2026 publication, mission, circulation and newsroom structure are clearly documented.",core_verified,yes,data/verification/south_carolina_verification_v1.csv,2
NY004,Feet in 2 Worlds,,New York City,https://fi2w.org/,yes,yes,yes,independent nonprofit immigrant-journalist news/training organization,mission; INN/LION membership; podcasts/digital stories; donor disclosure; editorial independence,verified_include,https://www.fi2w.org/about-us/,Strong hybrid newsroom/training case centered on immigrant journalists and stories.,core_verified,yes,data/verification/new_york_verification_v1.csv,5
AZ008,Filipino American Journal,,Phoenix / statewide,https://asianmedianetwork.com/,yes_via_parent,yes,yes,biweekly Filipino-American publication under Asian Media Network,parent explicitly lists Filipino American Journal as biweekly affiliate,verified_include_with_parent_evidence,https://asianmedianetwork.com/about-us/,Strong Filipino diaspora candidate; deeper direct-site coding needed.,core_verified,yes,data/verification/arizona_verification_v1.csv,9
NY026,ForumDaily,,Brooklyn / national,https://www.forumdaily.com/,yes,yes,yes,Russian-language digital newsroom,Brooklyn legal address; journalists in multiple U.S. cities; Russian-speaking America mission; immigration and U.S. news,verified_include,https://www.forumdaily.com/en/contacts/,Very strong Russian-speaking immigrant/diaspora case.,core_verified,yes,data/verification/new_york_verification_v1.csv,27
NY032,French Morning,,New York City / U.S. network,https://frenchmorning.com/,yes,yes,yes,French-language digital news/media network,active U.S. Francophone news; New York origin/presence; multi-city reach,verified_include,https://frenchmorning.com/,Strong Francophone diaspora/expatriate case.,core_verified,yes,data/verification/new_york_verification_v1.csv,33
IA002,Hola Iowa,,Des Moines / statewide,https://holaamericanews.com/,yes,yes,yes,bilingual Latino digital/news brand within Hola America Media Group,active Sept. 2026 Iowa reporting; parent group describes mission to inform and uplift Latino communities across Iowa and the Midwest,verified_include,https://holaamericanews.com/25-years-of-hola-america-a-legacy-of-service-growth-and-community/,Strong statewide Latino news case.,core_verified,yes,data/verification/iowa_verification_v1.csv,3
CT002,Identidad Latina Multimedia,,Hartford / statewide,https://identidadlatina.com/,yes,yes_mixed_multimedia,yes,Latino multimedia organization with print web social and radio,founded 2001 in Hartford; daily web updates bimonthly print magazine and explicit mission to inform/empower Connecticut Latino community,verified_include_mixed_format,https://identidadlatina.com/about-us/,Excellent long-running Latino multimedia case.,core_verified,yes,data/verification/connecticut_verification_v1.csv,3
CT006,Identidad Latina Radio,,Hartford / statewide,https://identidadlatina.com/,yes_via_parent,yes_mixed_radio,yes,radio product within Identidad Latina Multimedia,current parent homepage identifies Identidad Latina Radio as part of multimedia operation,verified_include_hosted_program,https://identidadlatina.com/,Link to CT002 host; do not double-count organization.,core_verified,yes,data/verification/connecticut_verification_v1.csv,7
NY006,Impacto Latino,,New York City,https://impactolatino.com/,yes,yes,yes,Spanish-language Latino community newspaper/digital outlet,active 2026 news; founded 1967; explicit immigrant/Hispanic service mission,verified_include,https://impactolatino.com/,Strong longstanding immigrant-serving case.,core_verified,yes,data/verification/new_york_verification_v1.csv,7
NY014,Khasokhas,,Queens / NYC,https://www.khasokhas.com/,yes,yes,yes,Nepali community news portal/weekly,ownership; weekly frequency; Queens-centered immigrant audience; explicit U.S. Nepali community mission,verified_include,https://www.khasokhas.com/about-us,Excellent core immigrant-media case.,core_verified,yes,data/verification/new_york_verification_v1.csv,15
NM003,KMVR-FM,,Deming / Southwest New Mexico,,yes_station_presence,yes,yes,Spanish-language local radio news outlet,2025 ecosystem study identifies KMVR-FM as one of four outlets providing local news in Spanish,verified_include_with_ecosystem_evidence,https://iprsoftwaremedia.com/175/files/202511/NewsMapFullReport.pdf,Important non-metro Spanish-language radio case; deeper programming/ownership coding needed.,core_verified,yes,data/verification/new_mexico_verification_v1.csv,4
NY018,Korea Daily New York,,Bayside / Queens,http://koreadailyny.com,yes,yes,yes,Korean-language community daily/edition,NY headquarters/address; explicit immigrant-life information mission; Korean-community advocacy,verified_include,https://yp.koreadaily.com/detail/301?bra_code=NY,Strong Korean immigrant-serving case.,core_verified,yes,data/verification/new_york_verification_v1.csv,19
VA002,Korea Daily Washington,,Annandale / Northern Virginia / DMV,https://www.koreadaily.com/,yes_via_current_directory,yes,yes,Korean-language daily/news operation within Korea Daily network,current Annandale office and contact listed; established Korean community news brand,verified_include_with_directory_evidence,https://www.waze.com/live-map/directions/korea-daily-washington-little-river-tpk-7023-annandale?to=place.w.185336196.1853427499.962000,Retain; deeper pass should verify current local edition/staff directly.,core_verified,yes,data/verification/virginia_verification_v1.csv,3
NY019,Korea Times New York,,New York City / Queens,https://www.koreatimes.com/,likely_yes,yes,yes,Korean-language metropolitan daily/edition,established New York edition; Korean-community readership; direct local institutional detail limited,verified_include_with_secondary_evidence,,Include with later deeper institutional coding.,core_verified,yes,data/verification/new_york_verification_v1.csv,20
NJ003,Korean Bergen News,,Bergen County,https://kbergennews.com/,yes,yes,yes,local Korean-language print/digital newspaper,publisher states weekly publication since 1996 and exclusive Bergen County Korean-community focus,verified_include,https://kbergennews.com/posts/why-korean-bergen-news-en,Excellent local Korean diaspora newsroom.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,4
NY028,Kurier Plus,,New York City,https://www.kurierplus.com/,yes,yes,yes,Polish-language weekly newspaper,current 2026 weekly issues; New York/Polonia coverage,verified_include,https://www.kurierplus.com/,Strong active Polish diaspora case.,core_verified,yes,data/verification/new_york_verification_v1.csv,29
KS002,KWCH Spanish-language news program,,Wichita / statewide,https://www.kwch.com/,yes,yes_program_level,yes,Spanish-language local television news program within KWCH,KWCH journalist bio states Ana Valdez launched the station's Spanish-language news program,verified_include_hosted_program,https://www.kwch.com/authors/AnaValdez/,Strong hosted/network newsroom case; identify program title/schedule in deeper pass.,core_verified,yes,data/verification/kansas_verification_v1.csv,3
KS003,La Grande 1340 AM,,"Kansas City, Kansas / metro",https://lagrande1340kc.com/,yes,mixed_news_entertainment,yes,Spanish-language commercial/community radio,"station states mission to serve Latino community and includes local news, community events and Spanish-language sports alongside music",verified_include_mixed_format,https://lagrande1340kc.com/,Eligible mixed-format case.,core_verified,yes,data/verification/kansas_verification_v1.csv,4
SC004,La Isla Magazine,,Hilton Head / Charleston / Lowcountry,https://www.laislamagazine.com/,current_listing,yes,yes,bilingual/Spanish magazine-newspaper and online outlet,listed by South Carolina DPH; Harvard Spanish-media study identifies monthly print and daily digital operation,verified_include_with_secondary_evidence,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Eligible; direct institutional details should be added later.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,5
SC005,La Nación Hispana,,Greenville / Upstate,https://www.lanacionhispana.com/,historical_to_current_candidate,yes,yes,Spanish-language weekly newspaper/digital outlet,Harvard Spanish-media study identifies weekly print/digital operation in South Carolina,verified_include_with_secondary_evidence,https://cervantesobservatorio.fas.harvard.edu/sites/default/files/019_informes_periodismo_espanol_estados_unidos.pdf,Eligible provisionally; confirm 2026 cadence and ownership in deeper pass.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,6
IA001,La Prensa Iowa,,Denison / Western & Central Iowa,https://www.laprensaiowa.com/,yes,yes,yes,independent Spanish-language print/digital newspaper,founded 2006 by Nicaraguan immigrant journalist Lorena López; biweekly print plus digital; explicit focus on Spanish-speaking and Hispanic communities,verified_include,https://www.laprensaiowa.com/about-us/,Excellent immigrant-founded rural/local journalism case.,core_verified,yes,data/verification/iowa_verification_v1.csv,2
SC011,La Raza Charleston,,Charleston,https://laraza.com/,yes_station,mixed_news_entertainment,yes,Spanish-language commercial radio station within Norsan Media,active regional Mexican station serving Charleston; parent/network ownership documented,verified_include_market_case,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Include as market-serving Spanish radio; journalism/public-affairs share should be coded separately.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,12
SC012,La Raza Columbia,,Columbia,https://laraza.com/,yes_station,mixed_news_entertainment,yes,Spanish-language commercial radio station within Norsan Media,active Columbia Spanish-language station; Norsan ownership/network structure documented,verified_include_market_case,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Include as market-serving Spanish radio; avoid double-counting parent network.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,13
AZ003,La Voz Arizona,,Phoenix / statewide,https://www.azcentral.com/la-voz/,yes,yes,yes,Spanish-language digital product within The Arizona Republic/Gannett,active Arizona Spanish-language news product serving Hispanic audiences,verified_include_hosted_language_product,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,Hosted/network-affiliated comparison case.,core_verified,yes,data/verification/arizona_verification_v1.csv,4
CT001,La Voz Hispana de Connecticut,,New Haven / statewide,https://lavozhispanact.com/,yes,yes,yes,Spanish-language weekly newspaper/digital outlet,active Sept. 2026; 135000+ weekly readership claim; distribution across Hartford New Haven Waterbury Bridgeport Norwalk and Stamford,verified_include,https://lavozhispanact.com/,Strong statewide Latino newspaper.,core_verified,yes,data/verification/connecticut_verification_v1.csv,2
MD003,Latin Opinion,,Baltimore / statewide,,yes_via_current_media_appearance,yes_likely,yes,Baltimore-based Spanish-language media network,WYPR interviewed founder Erick Oribio in July 2026 and identified Latin Opinion as a Baltimore-based Spanish-language media network,verified_include_with_secondary_evidence,https://www.wypr.org/show/the-wypr-news-roundup/2026-07-10/baltimore-county-elections-venezuelas-earthquake-police-accountability-and-ice-cream,Promising core case; direct website,core_verified,yes,data/verification/maryland_verification_v1.csv,4
SC002,Latino Newspaper / Latino SC,,Greenville / statewide,https://latino4u.net/,current_listing,likely_yes,yes,Spanish-language statewide newspaper and online outlet,listed by South Carolina DPH as newspaper/online outlet serving Greenville and statewide,verified_include_with_directory_evidence,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,"Strong candidate; deeper pass should add current ownership, staff and publication cadence.",core_verified,yes,data/verification/south_carolina_verification_v1.csv,3
FL001,Le Floridien,,South Florida / Haitian diaspora,https://lefloridien.com/,yes,yes,yes,independent bilingual Haitian-American newspaper,founded 2001; twice-monthly; current Sept. 2026 editions; South Florida distribution and diaspora reporting,verified_include,https://lefloridien.com/about-us/,Excellent Haitian diaspora newsroom.,core_verified,yes,data/verification/florida_verification_v1.csv,2
NH003,Made En NH,,Statewide,https://www.nhpr.org/made-en-nh,yes,yes_series,yes,Latino culture/community series within NHPR Spanish-language initiative,current bilingual Latino community/culture reporting tied to Qué Hay de Nuevo,verified_include_hosted_program,https://www.nhpr.org/made-en-nh,Program-level case; do not double-count institution.,core_verified,yes,data/verification/new_hampshire_verification_v1.csv,4
FL006,Miami Diario,,Miami / South Florida,https://miamidiario.com/,yes,yes,yes,Spanish-language digital local-news outlet,active Sept. 2026 Miami/Florida reporting with strong immigrant-community utility,verified_include,https://miamidiario.com/,Strong current Spanish-language local case.,core_verified,yes,data/verification/florida_verification_v1.csv,7
NY009,New York Latino,,New York City,https://newyorklatino.com/,yes,yes,yes,Spanish-language digital Latino news outlet,current 2026 local news; explicit mission to inform NY Latino community,verified_include,https://newyorklatino.com/,Current active local Latino outlet.,core_verified,yes,data/verification/new_york_verification_v1.csv,10
NJ005,News India Times,,Edison / national,https://newsindiatimes.com/,yes,yes,yes,Indian-American newspaper within Parikh Worldwide Media,publisher headquartered in Edison; active Sept. 2026 New Jersey community coverage alongside national diaspora reporting,verified_include_multiscale,https://newsindiatimes.com/,Strong South Asian diaspora newsroom; national scale should be coded separately.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,6
AZ006,Next Weekly,,Phoenix / statewide,https://www.nextweeklyaz.com/,yes,yes,yes,Chinese-language weekly newspaper,founded 2002; statewide east/west distribution; editorials plus local/Hong Kong/Taiwan news,verified_include,https://www.nextweeklyaz.com/about,Excellent Chinese diaspora/community outlet.,core_verified,yes,data/verification/arizona_verification_v1.csv,7
NJ004,NJ Information Magazine,,Fort Lee / Palisades Park,https://www.njjungbo.com/,yes,mixed_articles_information,yes,Korean-American monthly magazine/community-media product,current Sept. 2026 issue; Fort Lee and Palisades Park offices; Korean-American community focus,verified_include_mixed_format,https://www.njjungbo.com/,Eligible mixed-format Korean community publication.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,5
NJ009,NJ Spotlight News en Español,,Statewide,https://www.njspotlightnews.org/,yes_parent,yes_translated_local_news,yes_language_service,Spanish-language vertical within general nonprofit/state public-media newsroom,NJ PBS documents recurring Spanish translations and distribution partnerships including Reporte Hispano,verified_include_hosted_language_product,https://www.nj.gov/treasury/njpba/assets/files/pdf/2025/CPB_LocalContentReport2024.pdf,Hosted language-access product rather than immigrant-specific parent newsroom.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,10
SC003,Nuestro Estado,,Charleston / statewide,https://nuestroestado.com/,yes,yes,yes,Spanish-language digital newsroom,explicit community-centered journalism mission; undocumented people at core of audience; statewide Spanish-speaking focus,verified_include,https://nuestroestado.com/sobre-nosotros-3/,Very strong immigrant-serving fit.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,4
NJ007,Panjab Express,,Avenel / statewide & diaspora,https://www.panjabexpress.com/,yes,yes,yes,Punjabi-English digital newspaper published by BKS TIMES LLC,publisher based in Avenel; covers New Jersey U.S. Punjab and diaspora affairs; editorial and corrections policies public,verified_include,https://www.panjabexpress.com/about,Strong Punjabi diaspora case with visible editorial infrastructure.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,8
SC006,Pasa La Voz Noticias,,South Carolina / Georgia,https://pasalavoznoticias.org/,yes,yes,yes,independent Spanish-language newsroom,current 2026 reporting; named team; explicit service-journalism mission for Latinx communities in SC and GA,verified_include,https://pasalavoznoticias.org/sobre-nosotros-2/,Excellent core immigrant-serving case.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,7
KS001,Planeta Venus,,Wichita / statewide,https://www.planetavenus.online/,yes,yes,yes,bilingual/Spanish digital and print newsroom,"statewide digital reach and print distribution in Wichita, Emporia, Great Bend, Coffeyville, Garden City, Dodge City, Liberal and other Latino communities; independent reporting and fact-checking",verified_include,https://www.planetavenus.online/pvythejournal,Excellent statewide Latino journalism case.,core_verified,yes,data/verification/kansas_verification_v1.csv,2
AZ002,Prensa Arizona,,Phoenix / statewide,https://prensaarizona.com/,yes,yes,yes,Spanish-language print/digital community outlet,identified as one of Arizona's surviving Spanish-language print publications; active current site,verified_include_with_secondary_evidence,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,Strong Spanish-language community news case; deeper institutional coding needed.,core_verified,yes,data/verification/arizona_verification_v1.csv,3
NJ001,Radio Jornalera NJ,,Newark / statewide,,yes_via_current_reporting,yes,yes,grassroots immigrant-worker radio/digital outlet launched by Resistencia en Acción,active 2026 on-the-ground reporting; eight shows; Spanish-speaking immigrant-worker audience; volunteer/community journalism model,verified_include_with_secondary_evidence,https://www.theguardian.com/us-news/2026/jun/13/radio-jornalera-new-jersey-immigration-detention-center,Excellent immigrant-led grassroots media case; direct website/social metadata should be added later.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,2
FL005,Radyo Lekol,,Miami-Dade,https://www.wlrn.org/show/radyo-lekol,yes,yes_public_service_news,yes,Haitian Creole hosted educational-news program on WLRN,weekday 25-minute Haitian Creole news/information program produced by Miami-Dade County Public Schools,verified_include_hosted_program,https://www.wlrn.org/show/radyo-lekol,Important hosted public-service language program.,core_verified,yes,data/verification/florida_verification_v1.csv,6
NJ002,Reporte Hispano,,Statewide,https://reportehispano.com/,yes,yes,yes,Spanish-language print/digital news outlet,active Sept. 2026 local New Jersey immigration health economy and community reporting,verified_include,https://reportehispano.com/,Strong current statewide Latino newsroom.,core_verified,yes,data/verification/new_jersey_verification_v1.csv,3
AZ009,Saigon Nho / Little Saigon Magazine Arizona,,Phoenix,https://asianmedianetwork.com/,yes_via_parent,yes_mixed_magazine,yes,Vietnamese-language weekly magazine/media product,parent explicitly lists Saigon Nho Magazine as weekly Vietnamese affiliate,verified_include_mixed_format,https://asianmedianetwork.com/about-us/,Useful Vietnamese community-media case.,core_verified,yes,data/verification/arizona_verification_v1.csv,10
SC009,SC Live TV,,Statewide,https://sclivetv.com/,current_listing,mixed_news_entertainment,yes,Latino online TV/media outlet,"South Carolina Commission for Minority Affairs describes entertainment, music, shows and breaking news; statewide Latino-media role",verified_include_mixed_format,https://www.scstatehouse.gov/reports/aar2024/L460.pdf,Eligible as mixed-format Latino media; code journalism share separately.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,10
NY024,Shukan NY Seikatsu,,New York City,https://www.nyseikatsu.com/,yes,yes,yes,Japanese-language weekly newspaper,publisher; NYC address; weekly frequency; circulation; NY-area local news and living information,verified_include,https://www.nyseikatsu.com/english-page/05/2018/5451/,Strong current Japanese expatriate/immigrant community case.,core_verified,yes,data/verification/new_york_verification_v1.csv,25
NY021,Sing Tao Daily New York,,New York City,https://www.singtaousa.com/,likely_yes,yes,yes,Chinese-language daily/community edition,longstanding NY operation; local/international news; immigrant Chinese readership,verified_include_with_secondary_evidence,https://www.nysenate.gov/legislation/resolutions/2019/2019-j2040,Strong diaspora case; update with direct 2026 institutional page later.,core_verified,yes,data/verification/new_york_verification_v1.csv,22
AZ004,Telemundo Arizona,,Phoenix / Tucson / statewide,https://www.telemundoarizona.com/,yes,yes,yes,Spanish-language local television newsroom,Phoenix Magazine documents established local Spanish-language newsroom and community-centered newsgathering,verified_include,https://www.phoenixmag.com/2026/03/01/waiting-for-translation/,Strong network-affiliated Spanish-language case.,core_verified,yes,data/verification/arizona_verification_v1.csv,5
NM001,Telemundo Nuevo México,,Albuquerque / statewide,,yes_market_presence,yes,yes,Spanish-language local television newsroom,2025 statewide ecosystem study identifies Telemundo TV as one of only four outlets providing local news in Spanish,verified_include_with_ecosystem_evidence,https://iprsoftwaremedia.com/175/files/202511/NewsMapFullReport.pdf,Strong Spanish local-news case; add station call sign/ownership/direct site in deeper pass.,core_verified,yes,data/verification/new_mexico_verification_v1.csv,2
SC018,Telemundo South Carolina / GrayTV Telemundo,,Greenville / statewide,https://www.telemundogreenvillesc.com/,yes,yes,yes,Spanish-language local television newsroom within Gray Media,active 2026 local South Carolina Spanish-language news operation,verified_include,https://www.telemundogreenvillesc.com/,Strong large-network local-news comparison case.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,19
FL007,The Florida News,,Miami / Orlando / Tampa / West Palm Beach,https://www.theflorida.news/,yes,yes,yes,independent Spanish-language statewide/local digital newsroom,current 2026 reporting; explicitly describes itself as independent journalism for Florida's Latino community across major metros,verified_include,https://www.theflorida.news/,Strong multi-metro Latino newsroom.,core_verified,yes,data/verification/florida_verification_v1.csv,8
NY002,The Haitian Times,,Brooklyn / NYC,https://haitiantimes.com/,yes,yes,yes,Haitian diaspora newsroom,current reporting; donation-supported journalism; newsroom by/for Haitians; diaspora coverage,verified_include,https://haitiantimes.com/donate/,Strong core diaspora case; current site blocked on some pages but active publication is clear.,core_verified,yes,data/verification/new_york_verification_v1.csv,3
NY030,The National Herald,,New York City,https://www.thenationalherald.com/,yes,yes,yes,Greek-American newspaper/digital newsroom,Greek diaspora news; English/Greek coverage; NYC institutional presence,verified_include,https://www.thenationalherald.com/,Strong Greek-American diaspora case.,core_verified,yes,data/verification/new_york_verification_v1.csv,31
SC008,Universal Latin News Charleston,,Charleston / Lowcountry,https://universallatinnews.com/,yes,yes,yes,Spanish-language online newspaper/digital platform,current 2026 local reporting; publisher identified; local media profile documents Spanish-language information-hub role,verified_include,https://universallatinnews.com/,Strong current Lowcountry case.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,9
AZ005,Univision Arizona,,Phoenix / Tucson,https://www.univision.com/local/arizona-ktvw,yes,yes,yes,Spanish-language local television newsroom/network affiliate,current local Arizona Spanish-language news presence,verified_include,https://www.univision.com/local/arizona-ktvw,Strong network-affiliated case.,core_verified,yes,data/verification/arizona_verification_v1.csv,6
NM002,Univision Nuevo México,,Albuquerque / statewide,,yes_market_presence,yes,yes,Spanish-language local television newsroom,2025 statewide ecosystem study identifies Univision TV among only four local Spanish-news outlets,verified_include_with_ecosystem_evidence,https://iprsoftwaremedia.com/175/files/202511/NewsMapFullReport.pdf,Strong local Spanish-news case; direct local station metadata should be added later.,core_verified,yes,data/verification/new_mexico_verification_v1.csv,3
SC010,VaqueVA Revista,,Beaufort / Hilton Head / Lowcountry,,current_public_listing,mixed_magazine_radio,yes,Spanish-language magazine and online radio,South Carolina DPH and state minority-affairs records identify magazine/online radio serving Hilton Head/Bluffton area,verified_include_mixed_format,https://dph.sc.gov/professionals/public-health-data/data-care-dtc/data-care-dtc-latinx-resources,Eligible as mixed-format immigrant-serving media; direct website/current staff not established.,core_verified,yes,data/verification/south_carolina_verification_v1.csv,11
NH002,Visibles,,Statewide,https://www.nhpr.org/visibles-stories-from-our-community,yes,yes_series,yes,Latino community storytelling series within Qué Hay de Nuevo,multi-season original reporting focused on New Hampshire Latino community life,verified_include_hosted_program,https://www.nhpr.org/visibles-stories-from-our-community,Program-level case linked to NH001 host/product.,core_verified,yes,data/verification/new_hampshire_verification_v1.csv,3
MD001,Washington Hispanic,,Silver Spring / DMV,https://washingtonhispanic.com/,yes,yes,yes,Spanish-language weekly/digital newspaper,company headquarters documented in Silver Spring; founded 1994; serves Spanish-speaking DMV communities,verified_include_with_directory_evidence,https://asequent.com/app/admin/assets/img/184301A_EPM_100_PROOF_R1.pdf,Strong Maryland-based Latino newspaper; deeper pass should use current outlet contact/about page if available.,core_verified,yes,data/verification/maryland_verification_v1.csv,2
NY013,Weekly Thikana,,Queens / NYC,https://thikana.us/,yes,yes,yes,Bangladeshi diaspora multi-platform media group,founded in NY; newspaper/IPTV/digital; diaspora mission; government/community campaigns,verified_include,https://thikanagroup.com/,Very strong Bangladeshi diaspora institutional case.,core_verified,yes,data/verification/new_york_verification_v1.csv,14
NY022,World Journal New York,,Queens / NYC,https://www.worldjournal.com/,yes,yes,yes,large Chinese-language commercial newspaper/network,NY headquarters; daily Chinese-language journalism; multi-city network,verified_include,https://www.worldjournal.com/,Strong large-network comparison.,core_verified,yes,data/verification/new_york_verification_v1.csv,23
