outlet_id,outlet_name,state_or_market,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
NY014,Khasokhas,New York,Queens / NYC,https://www.khasokhas.com/,yes,yes,yes,Nepali community news portal/weekly,ownership; weekly frequency; Queens-centered immigrant audience; explicit U.S. Nepali community mission,verified_include,https://www.khasokhas.com/about-us,Excellent core immigrant-media case.
NY015,News India Times,New Jersey / NY market,NYC metro,https://www.newsindiatimes.com/,yes,yes,yes,Indian-American weekly within Parikh Worldwide Media,editor/staff; weekly; national Indian-American audience; NY office; corporate HQ now New Jersey,move_to_new_jersey_or_multistate,https://newsindiatimes.com/about-us/,"Do not count as New York-based in strict state frame; parent corporate office is in New Jersey, though it serves NY and has a NY office."
NY016,Desi Talk New York,New Jersey / NY market,NY-NJ-CT metro,https://desitalk.com/,yes,yes,yes,Indian-American weekly within Parikh Worldwide Media,explicit NY-NJ-CT edition; shared parent/staff; weekly publication,move_to_new_jersey_or_multistate,https://newsindiatimes.com/about-us/,Serve New York strongly but parent/corporate base is New Jersey. Preserve as NY-market outlet with NJ host.
NY017,Parikh Worldwide Media,New Jersey / NY market,NYC metro,https://www.newsindiatimes.com/,yes,no_as_single_outlet,yes,Indian-American media parent/group,"owns/publishes News India Times, Desi Talk, Gujarat Times and other properties",classify_intermediary_host,https://newsindiatimes.com/about-us/,"Do not count as an outlet. Add to host/network table, based in New Jersey."
NY018,Korea Daily New York,New York,Bayside / Queens,http://koreadailyny.com,yes,yes,yes,Korean-language community daily/edition,NY headquarters/address; explicit immigrant-life information mission; Korean-community advocacy,verified_include,https://yp.koreadaily.com/detail/301?bra_code=NY,Strong Korean immigrant-serving case.
NY019,Korea Times New York,New York,New York City / Queens,https://www.koreatimes.com/,likely_yes,yes,yes,Korean-language metropolitan daily/edition,established New York edition; Korean-community readership; direct local institutional detail limited,verified_include_with_secondary_evidence,,Include with later deeper institutional coding.
NY020,K-Radio AM 1660,New York,New York City,,likely_yes,yes_mixed_format,yes,Korean-American radio station,Korean-language community broadcast identity; news/public-affairs share requires deeper check,pending_deeper_verification,,"Retain; verify current ownership, schedule and journalism share."
NY021,Sing Tao Daily New York,New York,New York City,https://www.singtaousa.com/,likely_yes,yes,yes,Chinese-language daily/community edition,longstanding NY operation; local/international news; immigrant Chinese readership,verified_include_with_secondary_evidence,https://www.nysenate.gov/legislation/resolutions/2019/2019-j2040,Strong diaspora case; update with direct 2026 institutional page later.
NY022,World Journal New York,New York,Queens / NYC,https://www.worldjournal.com/,yes,yes,yes,large Chinese-language commercial newspaper/network,NY headquarters; daily Chinese-language journalism; multi-city network,verified_include,https://www.worldjournal.com/,Strong large-network comparison.
NY023,SinoVision,New York,New York City,https://sinovision.net/,no_current_network,historically_yes,yes,former Chinese-language television network,historical NYC Chinese-language network; television network reported closed Sept. 2024,exclude_inactive,https://en.wikipedia.org/wiki/SinoVision,Retain in archival registry only unless a successor digital newsroom is separately verified.
NY024,Shukan NY Seikatsu,New York,New York City,https://www.nyseikatsu.com/,yes,yes,yes,Japanese-language weekly newspaper,publisher; NYC address; weekly frequency; circulation; NY-area local news and living information,verified_include,https://www.nyseikatsu.com/english-page/05/2018/5451/,Strong current Japanese expatriate/immigrant community case.
NY025,Alhawadeth for Arab Americans,New York,Brooklyn / NYC,http://alhawadeth.net,unclear_current_operation,historically_yes,yes,Arabic-English Arab-American newspaper/site,Arab-American community-media identity; current publication cadence not firmly verified,pending_verification,,Keep candidate; obtain current 2026 activity before inclusion.
NY026,ForumDaily,New York,Brooklyn / national,https://www.forumdaily.com/,yes,yes,yes,Russian-language digital newsroom,Brooklyn legal address; journalists in multiple U.S. cities; Russian-speaking America mission; immigration and U.S. news,verified_include,https://www.forumdaily.com/en/contacts/,Very strong Russian-speaking immigrant/diaspora case.
NY027,Russian Bazaar,New York,Brooklyn / NYC,https://russian-bazaar.com/,likely_yes,yes,yes,Russian-language community newspaper,active brand/site; longstanding Brooklyn Russian-speaking readership,pending_deeper_verification,https://russian-bazaar.com/,Retain; current institutional page/ownership needs verification.
NY028,Kurier Plus,New York,New York City,https://www.kurierplus.com/,yes,yes,yes,Polish-language weekly newspaper,current 2026 weekly issues; New York/Polonia coverage,verified_include,https://www.kurierplus.com/,Strong active Polish diaspora case.
NY029,Nowy Dziennik / Polish Weekly,New Jersey / NY market,NYC metro,https://dziennik.com/,yes,yes,yes,Polish-language weekly serving New York metro,active Polish diaspora news; current publisher/headquarters reported in New Jersey,move_to_new_jersey_or_multistate,https://dziennik.com/,Do not count as strictly New York-based if state coding follows current institutional headquarters; preserve as NY-market outlet.
NY030,The National Herald,New York,New York City,https://www.thenationalherald.com/,yes,yes,yes,Greek-American newspaper/digital newsroom,Greek diaspora news; English/Greek coverage; NYC institutional presence,verified_include,https://www.thenationalherald.com/,Strong Greek-American diaspora case.
NY031,AKTINA FM / AKTINA TV,New York,New York City,https://www.aktina.org/,likely_yes,yes_mixed_format,yes,Greek/Cypriot nonprofit broadcast programming,Greek/Cypriot community mission; radio/TV programming,pending_deeper_verification,https://www.aktina.org/,Retain; verify current 2026 schedule and journalism/public-affairs share.
NY032,French Morning,New York,New York City / U.S. network,https://frenchmorning.com/,yes,yes,yes,French-language digital news/media network,active U.S. Francophone news; New York origin/presence; multi-city reach,verified_include,https://frenchmorning.com/,Strong Francophone diaspora/expatriate case.
NY033,Caribbean Life,New York,Brooklyn / NYC,https://www.caribbeanlife.com/,yes,yes,yes,Caribbean community newspaper/digital outlet,current Caribbean/NY local coverage; diaspora audience; network ownership visible,verified_include,https://www.caribbeanlife.com/,Strong Caribbean diaspora community case.
NY034,Caribbean American Weekly,New York,New York City,,unclear_current_operation,unclear,yes,Caribbean diaspora publication,known Caribbean-community title; current site/cadence not verified,pending_verification,,Retain candidate pending current direct evidence.
NY035,Caribbean Times,New York,New York City,,unclear_current_operation,unclear,yes,Caribbean community newspaper,candidate identity exists in ethnic-media directories; current operation unclear,pending_verification,,Do not include until 2026 activity is confirmed.
NY036,Caribbean People,New York,New York City,,unclear_current_operation,unclear,yes,Caribbean community media outlet,directory-level candidate only,pending_verification,,Retain candidate; verify exact outlet identity and current publication.
NY037,Forward,New York,New York City,https://forward.com/,yes,yes,partly,nonprofit Jewish news organization,nonprofit newsroom; Jewish community/diaspora coverage; English/Yiddish heritage,boundary_comparison,https://forward.com/,"Not primarily immigrant-serving today; retain as diaspora/boundary comparison, not core frame."
NY038,Jewish Telegraphic Agency,New York,New York City,https://www.jta.org/,yes,yes,partly,nonprofit Jewish global news service,sustained journalism; Jewish/diaspora focus; global network,boundary_comparison,https://www.jta.org/,Important diaspora-media comparator but not clearly immigrant-serving under core inclusion rule.
NY039,QNS / Queens community ethnic-media products,New York,Queens / NYC,https://qns.com/,yes,yes,unclear,local commercial media parent/platform,Queens local journalism; potential ethnic/community products,classify_host_or_comparison,https://qns.com/,Do not count parent as immigrant outlet without a distinct sustained immigrant/language product.
NY040,BronxNet community immigrant-language programming,New York,Bronx / NYC,https://bronxnet.org/,yes,yes_at_program_level,yes_at_program_level,community access media host/platform,multilingual/community programming; Bronx nonprofit media infrastructure,classify_host_program_level,https://bronxnet.org/,Important host infrastructure. Identify individual sustained immigrant-language journalism programs before counting outlets.
NY041,Black Star News,New York,New York City,https://blackstarnews.com/,yes,yes,partly,Black/African diaspora-oriented news outlet,African and Black diaspora coverage; broader Black politics/news mission,boundary_comparison,https://blackstarnews.com/,Potential African-diaspora comparison; not clearly immigrant-serving as primary mission.
NY042,New York Amsterdam News,New York,Harlem / NYC,https://amsterdamnews.com/,yes,yes,unclear,historic Black community newspaper,active Harlem/Black community journalism,comparison_or_exclude_core,https://amsterdamnews.com/,Keep outside core immigrant frame unless sustained immigrant/diaspora service is demonstrated.
NY043,Queens Latino,New York,Queens / NYC,,unresolved,unresolved,likely_yes,unresolved Spanish-language local candidate,exact current outlet identity not established,hold_unresolved,,Do not include until a distinct current organization is verified.
NY044,Noticia Long Island,New York,Long Island,https://noticiali.com/,likely_yes,yes,yes,Spanish-language Long Island community newspaper/digital outlet,Latino local-news identity; Long Island community focus,pending_deeper_verification,https://noticiali.com/,Strong candidate; verify current ownership/cadence and resolve duplication with NY008.
NY045,Diario Las Américas New York presence candidate,Florida / NY audience,,https://www.diariolasamericas.com/,yes,yes,yes_latino,Spanish-language newspaper based in Florida,no distinct New York-based operation established,exclude_from_new_york,,Do not count in New York state frame absent a distinct NY operation.
