outlet_id,outlet_name,state,city_or_scope,website,website_active,sustained_journalism,immigrant_or_diaspora_serving,institutional_form,public_institutional_signals,eligibility_status,primary_evidence_url,verification_notes
CA011,World Journal California,California,Los Angeles / Bay Area,https://www.worldjournal.com/,yes,yes,yes,Chinese-language commercial news organization,California corporate entity; Chinese-language journalism; LA/SF offices,verified_include,https://www.worldjournal.net/%E6%B4%9B%E6%9D%89%E7%A3%AF%E4%B8%96%E7%95%8C%E6%97%A5%E5%A0%B1/,Strong fit; useful large commercial comparison.
CA012,El Observador,California,San Jose / Bay Area,https://el-observador.com/,yes,yes,yes,bilingual independent commercial newspaper,ownership/company; bilingual mission; community partnerships,verified_include,https://el-observador.com/about-us/,Strong local Latino community fit.
CA013,La Opinión,California,Los Angeles,https://laopinion.com/,yes,yes,yes,large commercial Spanish-language newsroom,editorial team; ownership; local/immigration mission,verified_include,https://laopinion.com/about-us/,"Strong fit, but should later be coded as large/networked comparison case."
CA014,El Latino San Diego,California,San Diego,https://ellatinoonline.com/,yes,yes,yes,Latina-owned independent media organization,founder/owner structure; Latino-community mission; current news site,verified_include,https://ellatinoonline.com/about-fanny-miller/,Strong independent commercial case.
CA015,Peninsula 360 Press,California,Redwood City / San Mateo County,https://peninsula360press.com/,yes,yes,yes,immigrant-founded multilingual digital/community newsroom,immigrant founders; mission; community journalism; partnerships,verified_include,https://peninsula360press.com/en/we/,Very strong immigrant-serving fit.
CA016,Alhambra Source,California,Alhambra,https://alhambrasource.org/,no_current_operation,historically_yes,historically_yes,former nonprofit community newsroom,closure documented,exclude_inactive,https://www.alhambralatinoassociation.com/community-partners,"Closed in 2020. Retain only in archival/inactive registry, not active sampling frame."
CA017,ChicoSol News,California,Chico,https://chicosol.org/,yes,yes,yes,nonprofit/fiscally sponsored multicultural local newsroom,mission; fiscal sponsor; advisory board; donor support; Spanish section,verified_include,https://chicosol.org/about/,Strong institutional-variation case; not exclusively immigrant media but immigrant communities are central to mission.
CA018,Radio Bilingüe,California,Fresno / statewide network,https://radiobilingue.org/,yes,yes,yes,nonprofit Spanish-language public radio network,mission; stations; funders; immigrant/farmworker audiences,verified_include,https://radiobilingue.org/en/about-us,Strong fit and large nonprofit network case.
CA019,KBBF 89.1 FM,California,Santa Rosa / North Bay,https://kbbf.org/,yes,yes,yes,nonprofit multilingual community radio,board; nonprofit status; local public affairs; indigenous languages,verified_include,https://kbbf.org/about/,Strong community-radio case.
CA020,Radio Indígena,California,Oxnard,https://mixteco.org/radio-indigena/,yes,yes,yes,Indigenous-language community radio hosted by nonprofit,host organization; current programming; journalism program,verified_include,https://mixteco.org/radio-indigena/,Strong hosted-media case serving Indigenous immigrant/farmworker communities.
CA021,La Nueva Voz,California,Pomona,https://www.lanuevavoz.net/,yes,yes,yes,bilingual local community newspaper,publisher; operations; advertising; bilingual community reporting,verified_include,https://www.lanuevavoz.net/about.html,"Eligible, though broader community focus means immigrant-serving intensity should be coded later."
CA022,Vida en el Valle,California,Central Valley,https://www.vidaenelvalle.com/,pending_current_site_check,likely_yes,likely_yes,Latino community newspaper/digital outlet,candidate supported by Latino-media directories,pending_verification,,Retain candidate; current institutional verification still needed.
CA023,San Fernando Valley Sun / El Sol,California,San Fernando Valley,https://sanfernandosun.com/,yes,yes,yes,bilingual local community newspaper,ownership statement; ethics/corrections policy; active Spanish section,verified_include,https://sanfernandosun.com/about-us/,Eligible; strong bilingual community-news case.
CA024,El Popular,California,Bakersfield / Kern County,https://elpopularnews.com/,yes,yes,yes,independent veteran-owned Latino newspaper,ownership; corporation; ethics/corrections policy; bilingual standards,verified_include,https://elpopularnews.com/sobre-nosotros/,Strong independent institutional case.
CA025,El Informador del Valle,California,Indio / Coachella Valley,https://www.elinformadordelvalle.com/,yes,yes,yes,Spanish-language local community newspaper,current news; print edition; local mission; donation support,verified_include,https://www.elinformadordelvalle.com/,Strong local immigrant/Latino-market candidate.
CA026,Al Enteshar Newspaper,California,Los Angeles / Southern California,https://alentesharnewspaper.com/,yes,yes,yes,independent Arabic-English community newspaper,active weekly issues; office; independent ownership claim,verified_include,https://alentesharnewspaper.com/about/,Strong Arab-American community-media case.
CA027,Myanmar Gazette,California,Los Angeles area,,pending,pending,likely_yes,Burmese community media,directory evidence only in current pass,pending_verification,,Keep candidate; current website and active publication need direct verification.
CA028,Pakistan Times USA,California,Southern California,,pending,pending,likely_yes,Pakistani community publication,directory evidence only in current pass,pending_verification,,Keep candidate; current website and active publication need direct verification.
CA029,The Armenian Observer,California,Los Angeles area,,pending,pending,likely_yes,Armenian community publication,directory evidence only in current pass,pending_verification,,Keep candidate; current activity and institutional structure need verification.
CA030,Crossings TV,California,Sacramento / multi-market California,https://www.crossingstv.com/,yes,yes,yes,multilingual Asian television network,multi-language news/information; market coverage; advertising structure,verified_include,https://www.crossingstv.com/about-us/,Eligible as a multi-market institutional comparison; not a small local newsroom.
