outlet_id,outlet_name,jurisdiction,field,proposed_value,reason,source_value,institutional_form,eligibility_status,verification_notes
AZ008,Filipino American Journal,Arizona,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | biweekly Filipino-American publication under Asian Media Network | parent explicitly lists Filipino American Journal as biweekly affiliate,biweekly Filipino-American publication under Asian Media Network,verified_include_with_parent_evidence,Strong Filipino diaspora candidate; deeper direct-site coding needed.
AZ013,La Estrella de Tucsón,Arizona,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | historic Spanish-language newsroom | Tucson Spotlight documents rise and decline of immigrant-led original Spanish journalism,historic Spanish-language newsroom,exclude_inactive_archive,"Preserve as historical ecosystem case, not active core unless current operation is independently established."
AZ003,La Voz Arizona,Arizona,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language digital product within The Arizona Republic/Gannett | active Arizona Spanish-language news product serving Hispanic audiences,Spanish-language digital product within The Arizona Republic/Gannett,verified_include_hosted_language_product,Hosted/network-affiliated comparison case.
AZ006,Next Weekly,Arizona,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Chinese-language weekly newspaper | founded 2002; statewide east/west distribution; editorials plus local/Hong Kong/Taiwan news,Chinese-language weekly newspaper,verified_include,Excellent Chinese diaspora/community outlet.
AZ002,Prensa Arizona,Arizona,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language print/digital community outlet | identified as one of Arizona's surviving Spanish-language print publications; active current site,Spanish-language print/digital community outlet,verified_include_with_secondary_evidence,Strong Spanish-language community news case; deeper institutional coding needed.
AZ009,Saigon Nho / Little Saigon Magazine Arizona,Arizona,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Vietnamese-language weekly magazine/media product | parent explicitly lists Saigon Nho Magazine as weekly Vietnamese affiliate,Vietnamese-language weekly magazine/media product,verified_include_mixed_format,Useful Vietnamese community-media case.
AZ004,Telemundo Arizona,Arizona,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language local television newsroom | Phoenix Magazine documents established local Spanish-language newsroom and community-centered newsgathering,Spanish-language local television newsroom,verified_include,Strong network-affiliated Spanish-language case.
AZ005,Univision Arizona,Arizona,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language local television newsroom/network affiliate | current local Arizona Spanish-language news presence,Spanish-language local television newsroom/network affiliate,verified_include,Strong network-affiliated case.
AZ010,VAATV - Vietnamese American Arizona Television,Arizona,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Vietnamese-American television/community media product | parent lists VAATV as Vietnamese affiliate platform,Vietnamese-American television/community media product,pending_deeper_verification,Retain; verify current schedule and sustained journalism/public-affairs share.
AR001,Arkansas GRITA,Arkansas,community_orientation,mixed_orientation,multiple or insufficiently specific community signals detected,yes | community-led nonprofit-style investigative newsroom | About page identifies mission as amplifying migrant-neighbor voices and publishes recurring 2026 investigations on immigration enforcement; team and editorial independence standards publicly listed,community-led nonprofit-style investigative newsroom,verified_include_core,Strong immigrant-centered investigative newsroom.
AR002,Chikin Melele News,Arkansas,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Marshallese diaspora newspaper/digital outlet | Official site says it shares news across U.S. and Central Pacific in English Marshallese and Chuukese; founded in Springdale and active with 2026 reporting,Marshallese diaspora newspaper/digital outlet,verified_include_core,Strong diaspora journalism case with translocal scope.
AR003,La Prensa Libre AR,Arkansas,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language weekly newspaper owned by Northwest Arkansas Newspapers LLC | NWA Media identifies it as a weekly publication; September 2026 profile documents active two-person newsroom producing 16-page Spanish newspaper with 19 stories in latest issue,Spanish-language weekly newspaper owned by Northwest Arkansas Newspapers LLC,verified_include_core,Website identity is less clear than print/app presence but current operation is strongly documented.
AR004,Telemundo Arkansas,Arkansas,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language television and digital newsroom | Current site publishes daily Arkansas local news in Spanish and community coverage,Spanish-language television and digital newsroom,verified_include_core,Core language-serving broadcast/digital outlet.
CA026,Al Enteshar Newspaper,California,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | independent Arabic-English community newspaper | active weekly issues; office; independent ownership claim,independent Arabic-English community newspaper,verified_include,Strong Arab-American community-media case.
CA016,Alhambra Source,California,community_orientation,unclear,community orientation not explicit enough for deterministic coding,historically_yes | former nonprofit community newsroom | closure documented,former nonprofit community newsroom,exclude_inactive,"Closed in 2020. Retain only in archival/inactive registry, not active sampling frame."
CA008,Asian Journal,California,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Filipino American newspaper/digital newsroom | current California coverage; editorial/newsroom structure visible,Filipino American newspaper/digital newsroom,verified_include,Explicit Filipino-American community newspaper with active California coverage.
CA030,Crossings TV,California,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | multilingual Asian television network | multi-language news/information; market coverage; advertising structure,multilingual Asian television network,verified_include,Eligible as a multi-market institutional comparison; not a small local newsroom.
CA025,El Informador del Valle,California,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language local community newspaper | current news; print edition; local mission; donation support,Spanish-language local community newspaper,verified_include,Strong local immigrant/Latino-market candidate.
CA024,El Popular,California,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | independent veteran-owned Latino newspaper | ownership; corporation; ethics/corrections policy; bilingual standards,independent veteran-owned Latino newspaper,verified_include,Strong independent institutional case.
CA003,India Currents,California,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | 501(c)(3) nonprofit digital newsroom | staff; leadership; funding; annual reports; INN membership,501(c)(3) nonprofit digital newsroom,verified_include,Strong institutional visibility and explicit Indian-diaspora mission.
CA019,KBBF 89.1 FM,California,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | nonprofit multilingual community radio | board; nonprofit status; local public affairs; indigenous languages,nonprofit multilingual community radio,verified_include,Strong community-radio case.
CA010,Korea Daily / JoongAng Ilbo LA,California,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Korean American newspaper/media network | mission; LA headquarters; immigrant-service orientation; regional network,Korean American newspaper/media network,verified_include,Excellent fit for institutional scale variation.
CA013,La Opinión,California,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | large commercial Spanish-language newsroom | editorial team; ownership; local/immigration mission,large commercial Spanish-language newsroom,verified_include,"Strong fit, but should later be coded as large/networked comparison case."
CA027,Myanmar Gazette,California,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,likely_yes | Burmese community media | directory evidence only in current pass,Burmese community media,pending_verification,Keep candidate; current website and active publication need direct verification.
CA027,Myanmar Gazette,California,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,pending | Burmese community media | directory evidence only in current pass,Burmese community media,pending_verification,Keep candidate; current website and active publication need direct verification.
CA006,Nguoi Viet Daily News,California,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Vietnamese-language daily newspaper | current public listings; longstanding Vietnamese community publication,Vietnamese-language daily newspaper,verified_include_with_site_limit,Official county list identifies current outlet; site blocks automated fetch.
CA004,Nichi Bei News,California,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | nonprofit ethnic/community newspaper | nonprofit foundation; staff; board; membership; community mission,nonprofit ethnic/community newspaper,verified_include,"Strong fit, especially for Japanese American community journalism and institutional variation."
CA028,Pakistan Times USA,California,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,likely_yes | Pakistani community publication | directory evidence only in current pass,Pakistani community publication,pending_verification,Keep candidate; current website and active publication need direct verification.
CA028,Pakistan Times USA,California,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,pending | Pakistani community publication | directory evidence only in current pass,Pakistani community publication,pending_verification,Keep candidate; current website and active publication need direct verification.
CA018,Radio Bilingüe,California,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | nonprofit Spanish-language public radio network | mission; stations; funders; immigrant/farmworker audiences,nonprofit Spanish-language public radio network,verified_include,Strong fit and large nonprofit network case.
CA020,Radio Indígena,California,community_orientation,mixed_orientation,multiple or insufficiently specific community signals detected,yes | Indigenous-language community radio hosted by nonprofit | host organization; current programming; journalism program,Indigenous-language community radio hosted by nonprofit,verified_include,Strong hosted-media case serving Indigenous immigrant/farmworker communities.
CA005,Rafu Shimpo,California,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | bilingual Japanese-English community newspaper | current publication; bilingual identity; advertising/sponsors visible,bilingual Japanese-English community newspaper,verified_include,"Active current newsroom. About page is sparse, but site identifies publication clearly."
CA023,San Fernando Valley Sun / El Sol,California,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | bilingual local community newspaper | ownership statement; ethics/corrections policy; active Spanish section,bilingual local community newspaper,verified_include,Eligible; strong bilingual community-news case.
CA029,The Armenian Observer,California,community_orientation,unclear,community orientation not explicit enough for deterministic coding,likely_yes | Armenian community publication | directory evidence only in current pass,Armenian community publication,pending_verification,Keep candidate; current activity and institutional structure need verification.
CA029,The Armenian Observer,California,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,pending | Armenian community publication | directory evidence only in current pass,Armenian community publication,pending_verification,Keep candidate; current activity and institutional structure need verification.
CA009,The Korea Times Los Angeles,California,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Korean-language daily newspaper | active Los Angeles e-paper; local/state/news sections,Korean-language daily newspaper,verified_include,Current LA edition verified through e-paper service.
CA007,Viet Bao Daily News,California,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Vietnamese-language daily newspaper | current public listings; CEO/editor named,Vietnamese-language daily newspaper,verified_include_with_site_limit,Official county list identifies outlet; site blocks automated fetch.
CA011,World Journal California,California,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Chinese-language commercial news organization | California corporate entity; Chinese-language journalism; LA/SF offices,Chinese-language commercial news organization,verified_include,Strong fit; useful large commercial comparison.
CO005,Colorado Chinese News,Colorado,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Chinese-language newspaper/digital outlet | Denver Public Library lists it as Colorado Chinese News; current June 2026 issues documented,Chinese-language newspaper/digital outlet,verified_include_with_secondary_evidence,Strong Chinese-language diaspora case; deeper pass should add ownership/staff.
CO007,Telemundo Colorado / KDEN,Colorado,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language local television newsroom owned by NBCUniversal | dedicated local newsroom; multiple daily newscasts; statewide Spanish-speaking audience; current 2026 staffing and mission documented,Spanish-language local television newsroom owned by NBCUniversal,verified_include,Strong large-network comparison case.
CO008,Univision Colorado / Denver coverage,Colorado,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,"yes | Spanish-language network/local-market news presence | current Denver/Colorado reporting exists, but a distinct current Colorado newsroom/market page is less clearly documented in this pass",Spanish-language network/local-market news presence,pending_deeper_verification,"Retain; verify local station ownership, staffing and newsroom structure before counting as distinct core outlet."
CT005,Brazilian Times II - Connecticut circulation,Connecticut,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | Brazilian Portuguese newspaper based in Massachusetts with Connecticut circulation | publisher identifies Connecticut as part of Brazilian Times II circulation,Brazilian Portuguese newspaper based in Massachusetts with Connecticut circulation,multistate_market_case,Do not count as Connecticut-based newsroom.
CT007,Connecticut Brazilian/Danbury community media lead,Connecticut,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,likely_yes_if_found | unresolved Portuguese/Brazilian media lead | first-pass search did not establish a distinct current Danbury-based newsroom separate from regional Brazilian media,unresolved Portuguese/Brazilian media lead,hold_unresolved,Retain for deeper Portuguese radio/print/social-media search; do not infer absence.
CT007,Connecticut Brazilian/Danbury community media lead,Connecticut,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,unresolved | unresolved Portuguese/Brazilian media lead | first-pass search did not establish a distinct current Danbury-based newsroom separate from regional Brazilian media,unresolved Portuguese/Brazilian media lead,hold_unresolved,Retain for deeper Portuguese radio/print/social-media search; do not infer absence.
CT004,ConnecticutLatino.com,Connecticut,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language statewide information/news portal | current site provides Connecticut news services events and directories for Latino/Hispanic communities,Spanish-language statewide information/news portal,verified_include_mixed_format,Hybrid portal; assess original reporting share in deeper pass.
CT004,ConnecticutLatino.com,Connecticut,journalism_intensity,journalism_primary,core inclusion plus explicit newsroom/news-publication evidence,mixed_news_directory | Spanish-language statewide information/news portal | current site provides Connecticut news services events and directories for Latino/Hispanic communities,Spanish-language statewide information/news portal,verified_include_mixed_format,Hybrid portal; assess original reporting share in deeper pass.
CT003,CT Mirror en Español,Connecticut,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes_language_service | Spanish-language local-news product within nonprofit CT Mirror | current Spanish coverage created in partnership with Identidad Latina Multimedia,Spanish-language local-news product within nonprofit CT Mirror,verified_include_hosted_language_product,Important collaborative/hosted language-access model.
CT006,Identidad Latina Radio,Connecticut,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | radio product within Identidad Latina Multimedia | current parent homepage identifies Identidad Latina Radio as part of multimedia operation,radio product within Identidad Latina Multimedia,verified_include_hosted_program,Link to CT002 host; do not double-count organization.
CT001,La Voz Hispana de Connecticut,Connecticut,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language weekly newspaper/digital outlet | active Sept. 2026; 135000+ weekly readership claim; distribution across Hartford New Haven Waterbury Bridgeport Norwalk and Stamford,Spanish-language weekly newspaper/digital outlet,verified_include,Strong statewide Latino newspaper.
DE006,Delaware Spanish-language radio lead,Delaware,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,likely_yes_if_found | unresolved Spanish-language broadcast lead | no distinct journalism-focused Spanish radio newsroom firmly verified in first pass,unresolved Spanish-language broadcast lead,hold_unresolved,Retain for deeper FCC/station-program search; do not infer absence.
DE006,Delaware Spanish-language radio lead,Delaware,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,unresolved | unresolved Spanish-language broadcast lead | no distinct journalism-focused Spanish radio newsroom firmly verified in first pass,unresolved Spanish-language broadcast lead,hold_unresolved,Retain for deeper FCC/station-program search; do not infer absence.
DE004,El Mundo (Wilmington),Delaware,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | historic Spanish-language weekly newspaper | Library of Congress records weekly Spanish publication beginning in 1960; no current operation established,historic Spanish-language weekly newspaper,exclude_inactive_archive,Historical ecosystem case.
DE002,El Tiempo Hispano,Delaware,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | bilingual print/digital newspaper published by Hola Delaware LLC | active Apr. 2026; Spotlight Delaware identifies it as Delaware's bilingual biweekly print/online newspaper with statewide mission,bilingual print/digital newspaper published by Hola Delaware LLC,verified_include,Strong statewide Latino newsroom with collaboration infrastructure.
DE005,Hola Delaware LLC,Delaware,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | parent/host organization for El Tiempo Hispano | publisher/host identity documented in newspaper masthead and business directories,parent/host organization for El Tiempo Hispano,classify_intermediary_host,Do not count separately from DE002.
DE001,HOY en Delaware,Delaware,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language/Hispanic print-digital publication | founded 1996; active Sept. 2026; covers all three Delaware counties; explicit mission around Latino immigrant communities and local information,Spanish-language/Hispanic print-digital publication,verified_include,Excellent statewide Latino publication.
DC001,El Tiempo Latino,District of Columbia,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Latino-owned Spanish-language print and digital newsroom | active 2026 local reporting; company describes outlet as DMV Spanish-language newsroom covering housing health politics culture and community needs,Latino-owned Spanish-language print and digital newsroom,verified_include,Clear core outlet.
DC006,Ethiopian Yellow Pages,District of Columbia,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Ethiopian diaspora community directory and information institution | official site describes more than three decades connecting Ethiopian community with businesses services and culturally relevant information,Ethiopian diaspora community directory and information institution,classify_information_infrastructure_not_outlet,Important ecosystem institution but exclude from core journalism count.
DC004,Ethiopique,District of Columbia,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | independent Amharic-language local newsroom | official site identifies newsroom founded in 2022 serving Amharic-speaking immigrants with local policy elections community affairs and public information across DC Maryland Virginia,independent Amharic-language local newsroom,verified_include,Strong diaspora-language core outlet.
DC003,Metro Latino USA,District of Columbia,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language digital newsroom | active September 2026 DMV and immigration reporting; site states it was founded in Washington area in 2007 as an informational digital outlet,Spanish-language digital newsroom,verified_include,Clear core digital outlet.
DC005,Tiempo News,District of Columbia,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes_latino_audience | national Spanish-language political analysis brand headquartered in DC | company describes national political analysis from Washington for Spanish-speaking professionals across the United States,national Spanish-language political analysis brand headquartered in DC,verified_include_national_scope,Retain as DC-based national Latino media operation; distinguish from local DMV outlet DC001.
FL002,Island TV,Florida,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Caribbean/Haitian television network | current 2026 Haitian Creole news,Caribbean/Haitian television network,local South Florida community reporting and Haiti-focused political/current-affairs programming,https://ondemand.islandtv.tv/news
FL001,Le Floridien,Florida,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | independent bilingual Haitian-American newspaper | founded 2001; twice-monthly; current Sept. 2026 editions; South Florida distribution and diaspora reporting,independent bilingual Haitian-American newspaper,verified_include,Excellent Haitian diaspora newsroom.
FL010,Radyo FANM / Vwa FANM,Florida,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Haitian Creole community radio program hosted by Family Action Network Movement | 2026 Little Haiti Book Festival guide documents 28-year program on WLVQ 1320 AM covering health,Haitian Creole community radio program hosted by Family Action Network Movement,economic empowerment,verified_include_hosted_program
FL005,Radyo Lekol,Florida,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | Haitian Creole hosted educational-news program on WLRN | weekday 25-minute Haitian Creole news/information program produced by Miami-Dade County Public Schools,Haitian Creole hosted educational-news program on WLRN,verified_include_hosted_program,Important hosted public-service language program.
FL009,The Haitian Times - Florida service,Florida,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Haitian-American national/diaspora newsroom based outside Florida | substantial Haitian diaspora reporting relevant to South Florida; not Florida-based,Haitian-American national/diaspora newsroom based outside Florida,multistate_market_case,Do not count as Florida-based; retain as major Florida-serving diaspora outlet.
FL003,WQVN 1360,Florida,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Haitian community radio station | current schedule includes talk,Haitian community radio station,health,verified_include_mixed_format
FL003,WQVN 1360,Florida,journalism_intensity,unclear,journalism centrality not explicit enough for deterministic coding,mixed_news_talk_entertainment | Haitian community radio station | current schedule includes talk,Haitian community radio station,health,verified_include_mixed_format
FL004,WSRF 1580 AM / 99.5 FM,Florida,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Haitian-American radio station | over four decades; Creole/French programming; local/international news and community talk across Miami,Haitian-American radio station,Fort Lauderdale and Palm Beach,https://wsrf.com/about-lat/
GA007,Atlanta Burmese Voice,Georgia,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Burmese diaspora podcast hosted by Georgia Asian Times | parent site identifies podcast for Burmese community in metro Atlanta and Southeast,Burmese diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
GA004,Atlanta Chosun Today,Georgia,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Korean-language newspaper/digital newsroom | current operation; published six days per week; nearly 40 years serving Atlanta Korean-American community,Korean-language newspaper/digital newsroom,verified_include,Excellent Korean diaspora newsroom.
GA005,Atlanta K,Georgia,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Korean-American digital/community media outlet | 2026 media kit describes local news and issues affecting Korean-Americans in Southeast,Korean-American digital/community media outlet,verified_include_with_media_kit_evidence,Strong Korean community-media case; deeper pass should document ownership/team.
GA006,Georgia Korean Podcast,Georgia,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Korean diaspora podcast hosted by Georgia Asian Times | parent site identifies dedicated podcast for Korean-American community,Korean diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
GA003,Mundo Hispánico / MundoNow,Georgia,community_orientation,unclear,community orientation not explicit enough for deterministic coding,yes | Atlanta-founded bilingual Latino media outlet | founded as Georgia's first Spanish-language news outlet; long-running local-community role; now bilingual/national under MundoNow brand,Atlanta-founded bilingual Latino media outlet,verified_include_multiscale,Include with note that current scale extends beyond Georgia.
GA008,Usapang Pinoy,Georgia,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Filipino diaspora podcast hosted by Georgia Asian Times | parent site identifies podcast for Filipino diaspora community in metro Atlanta and Southeast,Filipino diaspora podcast hosted by Georgia Asian Times,verified_include_hosted_program,Program-level case; link to GA002 host.
HI001,Hawaii Filipino Chronicle,Hawaii,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Filipino community newspaper | Current 2026 editions and articles; subscription page describes statewide Filipino readership and twice-monthly distribution,Filipino community newspaper,verified_include_core,Strong core diaspora/community press case.
HI005,Hawaii Hochi / Hawaii Herald,Hawaii,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | historic Japanese/Japanese American newspaper | Hawaii Hochi and Hawaii Herald ceased publication in December 2023; successor is The San Times,historic Japanese/Japanese American newspaper,exclude_inactive_archival,Retain only as predecessor/archival linkage; do not count as active outlet.
HI002,The Fil-Am Courier,Hawaii,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Filipino community monthly print/digital publication | Official site identifies itself as Hawaii's leading Filipino publication founded 1987 and advertises monthly statewide circulation with relevant Filipino-American content,Filipino community monthly print/digital publication,verified_include_core,Strong core inclusion.
HI004,The San Times,Hawaii,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Japanese American online community journalism project | Zentoku Foundation identifies San Times as an active initiative created after Hawaii Herald closure to sustain Japanese American journalism and cover Oahu Maui Kauai and Big Island,Japanese American online community journalism project,verified_include_core,Successor project to Hawaii Herald.
ID001,IdahoLatino.com,Idaho,community_orientation,language_community,language-serving function explicit but narrower community orientation not established,yes | Spanish-language Latino information portal | Current site provides statewide Latino information and a Noticias en Idaho section but first pass does not establish a sufficiently clear original-reporting cadence,Spanish-language Latino information portal,hold_borderline_information_portal,Retain for deeper editorial-content review; do not yet count as core newsroom.
ID002,Mosaics,Idaho,community_orientation,mixed_orientation,refugee orientation coexists with another explicit community orientation,yes | hosted refugee/immigrant public-affairs podcast | Active through July 2026 with recurring episodes centered on refugee and immigrant lived experience; presented by Idaho Office for Refugees and produced with SB Studios,hosted refugee/immigrant public-affairs podcast,verified_include_hosted_program,Strong hosted media product but parent is a service organization rather than newsroom.
IL020,Arab American News Chicago-area candidate,Illinois,community_orientation,diaspora_national_origin,specific national-origin/diaspora community signal detected,yes | Arab-American media candidate | no distinct current Illinois newsroom established; avoid conflating with Michigan-based Arab American News,Arab-American media candidate,hold_unresolved,Retain only as unresolved discovery lead.
