outlet_id,outlet_name,jurisdiction,field,proposed_value,reason,source_value,institutional_form,eligibility_status,verification_notes
AK001,Sol de Medianoche,Alaska,media_format,print,print plus companion digital presence; verify whether digital is co-primary,bilingual Latino newspaper and digital outlet,bilingual Latino newspaper and digital outlet,verified_include_core,Strong core inclusion.
AZ012,Asian Media Network,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Arizona-based Asian media parent/intermediary,Arizona-based Asian media parent/intermediary,classify_intermediary_host,Do not count as one outlet; link subsidiary products to host.
AZ012,Asian Media Network,Arizona,language_model,multilingual,three or more non-English languages detected,"Arizona-based Asian media parent/intermediary | operates Chinese, Filipino and Vietnamese print/radio/TV affiliates",Arizona-based Asian media parent/intermediary,classify_intermediary_host,Do not count as one outlet; link subsidiary products to host.
AZ012,Asian Media Network,Arizona,institutional_relationship,subsidiary_or_parent_owned,parent ownership/hosting language detected,Arizona-based Asian media parent/intermediary | classify_intermediary_host | Do not count as one outlet; link subsidiary products to host.,Arizona-based Asian media parent/intermediary,classify_intermediary_host,Do not count as one outlet; link subsidiary products to host.
AZ011,Asian Sun Magazine,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,quarterly AAHPI community magazine published by Arizona Asian Chamber,quarterly AAHPI community magazine published by Arizona Asian Chamber,verified_include_mixed_format,Eligible mixed-format community publication; not a hard-news newsroom.
AZ011,Asian Sun Magazine,Arizona,language_model,unclear,language output structure not explicit enough for deterministic coding,"quarterly AAHPI community magazine published by Arizona Asian Chamber | current Summer 2026 edition; culture, business and current events; statewide community reach",quarterly AAHPI community magazine published by Arizona Asian Chamber,verified_include_mixed_format,Eligible mixed-format community publication; not a hard-news newsroom.
AZ011,Asian Sun Magazine,Arizona,institutional_relationship,subsidiary_or_parent_owned,parent ownership/hosting language detected,quarterly AAHPI community magazine published by Arizona Asian Chamber | verified_include_mixed_format | Eligible mixed-format community publication; not a hard-news newsroom.,quarterly AAHPI community magazine published by Arizona Asian Chamber,verified_include_mixed_format,Eligible mixed-format community publication; not a hard-news newsroom.
AZ011,Asian Sun Magazine,Arizona,newsroom_independence_form,editorially_distinct_within_parent,distinct product/newsroom signals inside parent detected,quarterly AAHPI community magazine published by Arizona Asian Chamber | Eligible mixed-format community publication; not a hard-news newsroom.,quarterly AAHPI community magazine published by Arizona Asian Chamber,verified_include_mixed_format,Eligible mixed-format community publication; not a hard-news newsroom.
AZ007,AZ Chinese News,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Chinese community news product under Asian Media Network,Chinese community news product under Asian Media Network,verified_include_with_parent_evidence,Include provisionally; direct publication page and cadence should be verified later.
AZ007,AZ Chinese News,Arizona,media_format,unclear,no clear primary format found,Chinese community news product under Asian Media Network,Chinese community news product under Asian Media Network,verified_include_with_parent_evidence,Include provisionally; direct publication page and cadence should be verified later.
AZ007,AZ Chinese News,Arizona,language_model,unclear,language output structure not explicit enough for deterministic coding,Chinese community news product under Asian Media Network | parent identifies AZ Chinese News among Chinese affiliate publications,Chinese community news product under Asian Media Network,verified_include_with_parent_evidence,Include provisionally; direct publication page and cadence should be verified later.
AZ007,AZ Chinese News,Arizona,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Phoenix | Arizona,Chinese community news product under Asian Media Network,verified_include_with_parent_evidence,Include provisionally; direct publication page and cadence should be verified later.
AZ007,AZ Chinese News,Arizona,institutional_relationship,subsidiary_or_parent_owned,parent ownership/hosting language detected,Chinese community news product under Asian Media Network | verified_include_with_parent_evidence | Include provisionally; direct publication page and cadence should be verified later.,Chinese community news product under Asian Media Network,verified_include_with_parent_evidence,Include provisionally; direct publication page and cadence should be verified later.
AZ007,AZ Chinese News,Arizona,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Chinese community news product under Asian Media Network | Include provisionally; direct publication page and cadence should be verified later.,Chinese community news product under Asian Media Network,verified_include_with_parent_evidence,Include provisionally; direct publication page and cadence should be verified later.
AZ001,Conecta Arizona,Arizona,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Phoenix / Arizona-Sonora | Arizona,independent nonprofit bilingual/digital newsroom,verified_include,Excellent immigrant-serving nonprofit case.
AZ001,Conecta Arizona,Arizona,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,independent nonprofit bilingual/digital newsroom | verified_include | Excellent immigrant-serving nonprofit case.,independent nonprofit bilingual/digital newsroom,verified_include,Excellent immigrant-serving nonprofit case.
AZ001,Conecta Arizona,Arizona,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,independent nonprofit bilingual/digital newsroom | Excellent immigrant-serving nonprofit case.,independent nonprofit bilingual/digital newsroom,verified_include,Excellent immigrant-serving nonprofit case.
AZ014,El Semanario / The Weekly Issue Arizona market,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Colorado-based bilingual weekly serving Arizona,Colorado-based bilingual weekly serving Arizona,multistate_market_case,Do not count as Arizona-based newsroom; retain as Arizona-serving market case.
AZ014,El Semanario / The Weekly Issue Arizona market,Arizona,media_format,unclear,no clear primary format found,Colorado-based bilingual weekly serving Arizona,Colorado-based bilingual weekly serving Arizona,multistate_market_case,Do not count as Arizona-based newsroom; retain as Arizona-serving market case.
AZ014,El Semanario / The Weekly Issue Arizona market,Arizona,institutional_relationship,same_outlet_multijurisdiction,market appearance implies cross-jurisdiction relationship but counterpart must be manually confirmed,Colorado-based bilingual weekly serving Arizona | multistate_market_case | Do not count as Arizona-based newsroom; retain as Arizona-serving market case.,Colorado-based bilingual weekly serving Arizona,multistate_market_case,Do not count as Arizona-based newsroom; retain as Arizona-serving market case.
AZ014,El Semanario / The Weekly Issue Arizona market,Arizona,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Colorado-based bilingual weekly serving Arizona | Do not count as Arizona-based newsroom; retain as Arizona-serving market case.,Colorado-based bilingual weekly serving Arizona,multistate_market_case,Do not count as Arizona-based newsroom; retain as Arizona-serving market case.
AZ008,Filipino American Journal,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,biweekly Filipino-American publication under Asian Media Network,biweekly Filipino-American publication under Asian Media Network,verified_include_with_parent_evidence,Strong Filipino diaspora candidate; deeper direct-site coding needed.
AZ008,Filipino American Journal,Arizona,media_format,unclear,no clear primary format found,biweekly Filipino-American publication under Asian Media Network,biweekly Filipino-American publication under Asian Media Network,verified_include_with_parent_evidence,Strong Filipino diaspora candidate; deeper direct-site coding needed.
AZ008,Filipino American Journal,Arizona,language_model,unclear,language output structure not explicit enough for deterministic coding,biweekly Filipino-American publication under Asian Media Network | parent explicitly lists Filipino American Journal as biweekly affiliate,biweekly Filipino-American publication under Asian Media Network,verified_include_with_parent_evidence,Strong Filipino diaspora candidate; deeper direct-site coding needed.
AZ008,Filipino American Journal,Arizona,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,Phoenix / statewide | Arizona,biweekly Filipino-American publication under Asian Media Network,verified_include_with_parent_evidence,Strong Filipino diaspora candidate; deeper direct-site coding needed.
AZ008,Filipino American Journal,Arizona,institutional_relationship,subsidiary_or_parent_owned,parent ownership/hosting language detected,biweekly Filipino-American publication under Asian Media Network | verified_include_with_parent_evidence | Strong Filipino diaspora candidate; deeper direct-site coding needed.,biweekly Filipino-American publication under Asian Media Network,verified_include_with_parent_evidence,Strong Filipino diaspora candidate; deeper direct-site coding needed.
AZ008,Filipino American Journal,Arizona,newsroom_independence_form,editorially_distinct_within_parent,distinct product/newsroom signals inside parent detected,biweekly Filipino-American publication under Asian Media Network | Strong Filipino diaspora candidate; deeper direct-site coding needed.,biweekly Filipino-American publication under Asian Media Network,verified_include_with_parent_evidence,Strong Filipino diaspora candidate; deeper direct-site coding needed.
AZ013,La Estrella de Tucsón,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,historic Spanish-language newsroom,historic Spanish-language newsroom,exclude_inactive_archive,"Preserve as historical ecosystem case, not active core unless current operation is independently established."
AZ013,La Estrella de Tucsón,Arizona,media_format,unclear,no clear primary format found,historic Spanish-language newsroom,historic Spanish-language newsroom,exclude_inactive_archive,"Preserve as historical ecosystem case, not active core unless current operation is independently established."
AZ013,La Estrella de Tucsón,Arizona,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Tucson | Arizona,historic Spanish-language newsroom,exclude_inactive_archive,"Preserve as historical ecosystem case, not active core unless current operation is independently established."
AZ013,La Estrella de Tucsón,Arizona,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,"historic Spanish-language newsroom | exclude_inactive_archive | Preserve as historical ecosystem case, not active core unless current operation is independently established.",historic Spanish-language newsroom,exclude_inactive_archive,"Preserve as historical ecosystem case, not active core unless current operation is independently established."
AZ013,La Estrella de Tucsón,Arizona,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,"historic Spanish-language newsroom | Preserve as historical ecosystem case, not active core unless current operation is independently established.",historic Spanish-language newsroom,exclude_inactive_archive,"Preserve as historical ecosystem case, not active core unless current operation is independently established."
AZ003,La Voz Arizona,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Spanish-language digital product within The Arizona Republic/Gannett,Spanish-language digital product within The Arizona Republic/Gannett,verified_include_hosted_language_product,Hosted/network-affiliated comparison case.
AZ003,La Voz Arizona,Arizona,media_format,unclear,no clear primary format found,Spanish-language digital product within The Arizona Republic/Gannett,Spanish-language digital product within The Arizona Republic/Gannett,verified_include_hosted_language_product,Hosted/network-affiliated comparison case.
AZ006,Next Weekly,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Chinese-language weekly newspaper,Chinese-language weekly newspaper,verified_include,Excellent Chinese diaspora/community outlet.
AZ006,Next Weekly,Arizona,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,Phoenix / statewide | Arizona,Chinese-language weekly newspaper,verified_include,Excellent Chinese diaspora/community outlet.
AZ002,Prensa Arizona,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Spanish-language print/digital community outlet,Spanish-language print/digital community outlet,verified_include_with_secondary_evidence,Strong Spanish-language community news case; deeper institutional coding needed.
AZ009,Saigon Nho / Little Saigon Magazine Arizona,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Vietnamese-language weekly magazine/media product,Vietnamese-language weekly magazine/media product,verified_include_mixed_format,Useful Vietnamese community-media case.
AZ009,Saigon Nho / Little Saigon Magazine Arizona,Arizona,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Phoenix | Arizona,Vietnamese-language weekly magazine/media product,verified_include_mixed_format,Useful Vietnamese community-media case.
AZ009,Saigon Nho / Little Saigon Magazine Arizona,Arizona,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Vietnamese-language weekly magazine/media product | verified_include_mixed_format | Useful Vietnamese community-media case.,Vietnamese-language weekly magazine/media product,verified_include_mixed_format,Useful Vietnamese community-media case.
AZ009,Saigon Nho / Little Saigon Magazine Arizona,Arizona,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Vietnamese-language weekly magazine/media product | Useful Vietnamese community-media case.,Vietnamese-language weekly magazine/media product,verified_include_mixed_format,Useful Vietnamese community-media case.
AZ004,Telemundo Arizona,Arizona,record_type,network_affiliate_or_local_station,parent/network wording should be relationship-reviewed,verified_include,Spanish-language local television newsroom,verified_include,Strong network-affiliated Spanish-language case.
AZ004,Telemundo Arizona,Arizona,media_format,mixed_platform,multiple central formats detected; manual check recommended,Spanish-language local television newsroom,Spanish-language local television newsroom,verified_include,Strong network-affiliated Spanish-language case.
AZ004,Telemundo Arizona,Arizona,institutional_relationship,network_affiliate,network/local affiliation detected; verify parent structure,Spanish-language local television newsroom | verified_include | Strong network-affiliated Spanish-language case.,Spanish-language local television newsroom,verified_include,Strong network-affiliated Spanish-language case.
AZ004,Telemundo Arizona,Arizona,newsroom_independence_form,network_local_newsroom,network structure detected; local newsroom autonomy is not being inferred,Spanish-language local television newsroom | Strong network-affiliated Spanish-language case.,Spanish-language local television newsroom,verified_include,Strong network-affiliated Spanish-language case.
AZ005,Univision Arizona,Arizona,record_type,network_affiliate_or_local_station,parent/network wording should be relationship-reviewed,verified_include,Spanish-language local television newsroom/network affiliate,verified_include,Strong network-affiliated case.
AZ005,Univision Arizona,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Spanish-language local television newsroom/network affiliate,Spanish-language local television newsroom/network affiliate,verified_include,Strong network-affiliated case.
AZ005,Univision Arizona,Arizona,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Phoenix / Tucson | Arizona,Spanish-language local television newsroom/network affiliate,verified_include,Strong network-affiliated case.
AZ005,Univision Arizona,Arizona,institutional_relationship,network_affiliate,network/local affiliation detected; verify parent structure,Spanish-language local television newsroom/network affiliate | verified_include | Strong network-affiliated case.,Spanish-language local television newsroom/network affiliate,verified_include,Strong network-affiliated case.
AZ005,Univision Arizona,Arizona,newsroom_independence_form,network_local_newsroom,network structure detected; local newsroom autonomy is not being inferred,Spanish-language local television newsroom/network affiliate | Strong network-affiliated case.,Spanish-language local television newsroom/network affiliate,verified_include,Strong network-affiliated case.
AZ010,VAATV - Vietnamese American Arizona Television,Arizona,record_type,unclear,boundary/pending record requires manual record-type decision,pending_deeper_verification,Vietnamese-American television/community media product,pending_deeper_verification,Retain; verify current schedule and sustained journalism/public-affairs share.
AZ010,VAATV - Vietnamese American Arizona Television,Arizona,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Vietnamese-American television/community media product,Vietnamese-American television/community media product,pending_deeper_verification,Retain; verify current schedule and sustained journalism/public-affairs share.
AZ010,VAATV - Vietnamese American Arizona Television,Arizona,language_model,unclear,language output structure not explicit enough for deterministic coding,Vietnamese-American television/community media product | parent lists VAATV as Vietnamese affiliate platform,Vietnamese-American television/community media product,pending_deeper_verification,Retain; verify current schedule and sustained journalism/public-affairs share.
AZ010,VAATV - Vietnamese American Arizona Television,Arizona,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Phoenix | Arizona,Vietnamese-American television/community media product,pending_deeper_verification,Retain; verify current schedule and sustained journalism/public-affairs share.
AZ010,VAATV - Vietnamese American Arizona Television,Arizona,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Vietnamese-American television/community media product | pending_deeper_verification | Retain; verify current schedule and sustained journalism/public-affairs share.,Vietnamese-American television/community media product,pending_deeper_verification,Retain; verify current schedule and sustained journalism/public-affairs share.
AZ010,VAATV - Vietnamese American Arizona Television,Arizona,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Vietnamese-American television/community media product | Retain; verify current schedule and sustained journalism/public-affairs share.,Vietnamese-American television/community media product,pending_deeper_verification,Retain; verify current schedule and sustained journalism/public-affairs share.
AR001,Arkansas GRITA,Arkansas,media_format,unclear,no clear primary format found,community-led nonprofit-style investigative newsroom,community-led nonprofit-style investigative newsroom,verified_include_core,Strong immigrant-centered investigative newsroom.
AR001,Arkansas GRITA,Arkansas,language_model,unclear,language output structure not explicit enough for deterministic coding,community-led nonprofit-style investigative newsroom | About page identifies mission as amplifying migrant-neighbor voices and publishes recurring 2026 investigations on immigration enforcement; team and editorial independence standards publicly listed,community-led nonprofit-style investigative newsroom,verified_include_core,Strong immigrant-centered investigative newsroom.
AR002,Chikin Melele News,Arkansas,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Marshallese diaspora newspaper/digital outlet,Marshallese diaspora newspaper/digital outlet,verified_include_core,Strong diaspora journalism case with translocal scope.
AR002,Chikin Melele News,Arkansas,media_format,print,print plus companion digital presence; verify whether digital is co-primary,Marshallese diaspora newspaper/digital outlet,Marshallese diaspora newspaper/digital outlet,verified_include_core,Strong diaspora journalism case with translocal scope.
AR002,Chikin Melele News,Arkansas,language_model,multilingual,English plus multiple non-English languages detected,Marshallese diaspora newspaper/digital outlet | Official site says it shares news across U.S. and Central Pacific in English Marshallese and Chuukese; founded in Springdale and active with 2026 reporting,Marshallese diaspora newspaper/digital outlet,verified_include_core,Strong diaspora journalism case with translocal scope.
AR002,Chikin Melele News,Arkansas,geographic_scope,transnational_or_diaspora,transnational/diaspora reach indicated; verify principal service geography,Springdale / U.S. Marshallese diaspora | Arkansas,Marshallese diaspora newspaper/digital outlet,verified_include_core,Strong diaspora journalism case with translocal scope.
AR003,La Prensa Libre AR,Arkansas,geographic_scope,unclear,service geography not explicit enough for deterministic coding,Northwest Arkansas / River Valley / Southwest Missouri | Arkansas,Spanish-language weekly newspaper owned by Northwest Arkansas Newspapers LLC,verified_include_core,Website identity is less clear than print/app presence but current operation is strongly documented.
AR003,La Prensa Libre AR,Arkansas,institutional_relationship,subsidiary_or_parent_owned,parent ownership/hosting language detected,Spanish-language weekly newspaper owned by Northwest Arkansas Newspapers LLC | verified_include_core | Website identity is less clear than print/app presence but current operation is strongly documented.,Spanish-language weekly newspaper owned by Northwest Arkansas Newspapers LLC,verified_include_core,Website identity is less clear than print/app presence but current operation is strongly documented.
AR003,La Prensa Libre AR,Arkansas,newsroom_independence_form,editorially_distinct_within_parent,distinct product/newsroom signals inside parent detected,Spanish-language weekly newspaper owned by Northwest Arkansas Newspapers LLC | Website identity is less clear than print/app presence but current operation is strongly documented.,Spanish-language weekly newspaper owned by Northwest Arkansas Newspapers LLC,verified_include_core,Website identity is less clear than print/app presence but current operation is strongly documented.
AR004,Telemundo Arkansas,Arkansas,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Spanish-language television and digital newsroom,Spanish-language television and digital newsroom,verified_include_core,Core language-serving broadcast/digital outlet.
CA026,Al Enteshar Newspaper,California,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,independent Arabic-English community newspaper,independent Arabic-English community newspaper,verified_include,Strong Arab-American community-media case.
CA026,Al Enteshar Newspaper,California,language_model,bilingual,English plus one non-English language detected from descriptive fields,independent Arabic-English community newspaper | active weekly issues; office; independent ownership claim,independent Arabic-English community newspaper,verified_include,Strong Arab-American community-media case.
CA026,Al Enteshar Newspaper,California,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Los Angeles / Southern California | California,independent Arabic-English community newspaper,verified_include,Strong Arab-American community-media case.
CA016,Alhambra Source,California,media_format,unclear,no clear primary format found,former nonprofit community newsroom,former nonprofit community newsroom,exclude_inactive,"Closed in 2020. Retain only in archival/inactive registry, not active sampling frame."
CA016,Alhambra Source,California,language_model,unclear,language output structure not explicit enough for deterministic coding,former nonprofit community newsroom | closure documented,former nonprofit community newsroom,exclude_inactive,"Closed in 2020. Retain only in archival/inactive registry, not active sampling frame."
CA016,Alhambra Source,California,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Alhambra | California,former nonprofit community newsroom,exclude_inactive,"Closed in 2020. Retain only in archival/inactive registry, not active sampling frame."
CA016,Alhambra Source,California,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,"former nonprofit community newsroom | exclude_inactive | Closed in 2020. Retain only in archival/inactive registry, not active sampling frame.",former nonprofit community newsroom,exclude_inactive,"Closed in 2020. Retain only in archival/inactive registry, not active sampling frame."
CA016,Alhambra Source,California,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,"former nonprofit community newsroom | Closed in 2020. Retain only in archival/inactive registry, not active sampling frame.",former nonprofit community newsroom,exclude_inactive,"Closed in 2020. Retain only in archival/inactive registry, not active sampling frame."
CA008,Asian Journal,California,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Filipino American newspaper/digital newsroom,Filipino American newspaper/digital newsroom,verified_include,Explicit Filipino-American community newspaper with active California coverage.
CA008,Asian Journal,California,media_format,print,print plus companion digital presence; verify whether digital is co-primary,Filipino American newspaper/digital newsroom,Filipino American newspaper/digital newsroom,verified_include,Explicit Filipino-American community newspaper with active California coverage.
CA008,Asian Journal,California,language_model,unclear,language output structure not explicit enough for deterministic coding,Filipino American newspaper/digital newsroom | current California coverage; editorial/newsroom structure visible,Filipino American newspaper/digital newsroom,verified_include,Explicit Filipino-American community newspaper with active California coverage.
CA008,Asian Journal,California,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Los Angeles / California | California,Filipino American newspaper/digital newsroom,verified_include,Explicit Filipino-American community newspaper with active California coverage.
CA017,ChicoSol News,California,media_format,unclear,no clear primary format found,nonprofit/fiscally sponsored multicultural local newsroom,nonprofit/fiscally sponsored multicultural local newsroom,verified_include,Strong institutional-variation case; not exclusively immigrant media but immigrant communities are central to mission.
CA017,ChicoSol News,California,language_model,unclear,language output structure not explicit enough for deterministic coding,nonprofit/fiscally sponsored multicultural local newsroom | mission; fiscal sponsor; advisory board; donor support; Spanish section,nonprofit/fiscally sponsored multicultural local newsroom,verified_include,Strong institutional-variation case; not exclusively immigrant media but immigrant communities are central to mission.
CA017,ChicoSol News,California,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Chico | California,nonprofit/fiscally sponsored multicultural local newsroom,verified_include,Strong institutional-variation case; not exclusively immigrant media but immigrant communities are central to mission.
CA030,Crossings TV,California,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,multilingual Asian television network,multilingual Asian television network,verified_include,Eligible as a multi-market institutional comparison; not a small local newsroom.
CA030,Crossings TV,California,geographic_scope,unclear,service geography not explicit enough for deterministic coding,Sacramento / multi-market California | California,multilingual Asian television network,verified_include,Eligible as a multi-market institutional comparison; not a small local newsroom.
CA025,El Informador del Valle,California,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Spanish-language local community newspaper,Spanish-language local community newspaper,verified_include,Strong local immigrant/Latino-market candidate.
CA025,El Informador del Valle,California,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Indio / Coachella Valley | California,Spanish-language local community newspaper,verified_include,Strong local immigrant/Latino-market candidate.
CA014,El Latino San Diego,California,ownership_or_governance_form,unclear,no explicit governance/ownership signal found,Latina-owned independent media organization,Latina-owned independent media organization,verified_include,Strong independent commercial case.
CA014,El Latino San Diego,California,media_format,unclear,no clear primary format found,Latina-owned independent media organization,Latina-owned independent media organization,verified_include,Strong independent commercial case.
CA014,El Latino San Diego,California,language_model,unclear,language output structure not explicit enough for deterministic coding,Latina-owned independent media organization | founder/owner structure; Latino-community mission; current news site,Latina-owned independent media organization,verified_include,Strong independent commercial case.
CA014,El Latino San Diego,California,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,San Diego | California,Latina-owned independent media organization,verified_include,Strong independent commercial case.
CA014,El Latino San Diego,California,institutional_relationship,unclear,relationship structure not explicit enough for deterministic coding,Latina-owned independent media organization | verified_include | Strong independent commercial case.,Latina-owned independent media organization,verified_include,Strong independent commercial case.
CA014,El Latino San Diego,California,newsroom_independence_form,unclear,organizational separateness not explicit enough for deterministic coding,Latina-owned independent media organization | Strong independent commercial case.,Latina-owned independent media organization,verified_include,Strong independent commercial case.
CA012,El Observador,California,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,San Jose / Bay Area | California,bilingual independent commercial newspaper,verified_include,Strong local Latino community fit.
CA024,El Popular,California,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,Bakersfield / Kern County | California,independent veteran-owned Latino newspaper,verified_include,Strong independent institutional case.
CA002,El Tecolote,California,geographic_scope,neighborhood_or_city,city/local scope inferred from concise city_or_scope field,San Francisco | California,bilingual community newspaper; nonprofit parent,verified_include,Strong fit. Long-running bilingual Latino community newspaper.
CA001,El Tímpano,California,media_format,unclear,no clear primary format found,community-centered immigrant newsroom,community-centered immigrant newsroom,verified_include,Strong fit. Explicitly serves Bay Area Latino and Mayan immigrants.
