institutional_form,n
Filipino diaspora podcast hosted by Georgia Asian Times,1
Filipino-American radio/digital media outlet,1
French-language digital news/media network,1
French-language product within Maine Public News Connect,1
Greek-American newspaper/digital newsroom,1
Greek/Cypriot nonprofit broadcast programming,1
Haitian Creole community radio program hosted by Family Action Network Movement,1
Haitian Creole hosted educational-news program on WLRN,1
Haitian community radio station,1
Haitian diaspora newsroom,1
Haitian-American national/diaspora newsroom based outside Florida,1
Haitian-American radio station,1
Hmong community TV/news operation,1
Hmong-language TV news/community program,1
Indian-American biweekly newspaper/digital outlet,1
Indian-American community publication,1
Indian-American media parent/group,1
Indian-American newspaper within Parikh Worldwide Media,1
Indian/South Asian commercial radio station,1
Indigenous-language community radio hosted by nonprofit,1
Indigenous-language local news outlets,1
Indonesian community media outlet,1
Japanese American online community journalism project,1
Japanese-English community newspaper; minority-owned publisher,1
Japanese-language weekly newspaper,1
Jewish community newspaper/digital outlet,1
Korean American newspaper/media network,1
Korean community news organization,1
Korean diaspora podcast hosted by Georgia Asian Times,1
Korean-American digital/community media outlet,1
Korean-American monthly magazine run by nonprofit media foundation,1
Korean-American monthly magazine/community-media product,1
Korean-American print and digital newsroom,1
Korean-American radio station,1
Korean-language biweekly newspaper,1
Korean-language community daily/edition,1
Korean-language community news outlet,1
Korean-language daily newspaper,1
Korean-language daily newspaper within Korea Times network,1
Korean-language daily/news operation within Korea Daily network,1
Korean-language metropolitan daily/edition,1
Korean-language monthly community newspaper hosted by Korean American Federation of Utah,1
Korean-language news organization,1
Korean-language newspaper and digital outlet,1
Korean-language newspaper/digital newsroom,1
Korean-language publication within New Mainstream Media,1
Korean-language weekly newspaper,1
Korean-language weekly/digital newsroom,1
Korean/English community digital news outlet,1
Latina-owned bilingual community newspaper,1
Latina-owned independent media organization,1
Latino community digital outlet,1
Latino community information/media site,1
Latino community information/news portal,1
Latino community newspaper/digital outlet,1
Latino community radio operation,1
Latino community storytelling series within Qué Hay de Nuevo,1
Latino cultural/community publication candidate,1
Latino culture/community series within NHPR Spanish-language initiative,1
Latino multimedia organization with print web social and radio,1
Latino news outlet,1
Latino news/interview program within multimedia company,1
Latino online TV/media outlet,1
Latino service/advocacy organization information channel,1
Latino-focused digital/video project,1
Latino-focused statewide digital outlet,1
Latino-focused weekly/digital publication,1
Latino-oriented digital news/community publication,1
Latino-owned Spanish-language print and digital newsroom,1
Latino/Puerto Rican public-affairs television program,1
Latino/community magazine,1
Latino/community newspaper candidate,1
Latino/family-owned Spanish-language local newsroom within Tiempo Company,1
Latinx online news outlet,1
Lithuanian-language newspaper with English-language sister publication,1
Marshallese diaspora newspaper/digital outlet,1
Mexico-based cross-border Spanish-language newspaper,1
Nepali community news portal/weekly,1
Nigerian/African diaspora online news and commentary outlet,1
North Carolina-based Spanish-language newsroom serving SC market,1
Pakistani community newspaper,1
Pakistani community publication,1
Polish-language newspaper/digital outlet,1
Polish-language outlet candidate,1
Polish-language weekly newspaper,1
Polish-language weekly serving New York metro,1
Portuguese-language Brazilian-immigrant initiative within Hola Latino,1
Portuguese-language product within Maine Public News Connect,1
Punjabi-English digital newspaper published by BKS TIMES LLC,1
Regional Mexican Spanish-language commercial radio station,1
Romanian-language community newspaper,1
Russian-language community newspaper,1
Russian-language digital newsroom,1
Russian/Ukrainian-language magazine within multicultural media group,1
Slavic/Eastern European community radio within media group,1
Somali community newspaper hosted by Somali Community Link,1
Somali news/radio candidate,1
Somali-language product within Maine Public News Connect,1
Somali/African/Muslim multimedia community outlet,1
Somali/East African media candidate,1
South Asian multilingual commercial radio station,1
South Asian weekly community newspaper,1
South Asian weekly newspaper and radio operation,1
South Asian/Asian community newspaper/digital outlet,1
Spanish-English newspaper/digital newsroom,1
Spanish-language Houston Chronicle publication,1
Spanish-language Latino community newspaper/digital outlet,1
Spanish-language Latino information portal,1
Spanish-language Latino newspaper/digital outlet,1
Spanish-language Long Island community newspaper/digital outlet,1
Spanish-language Memphis newspaper,1
Spanish-language broadcast parent/host organization,1
Spanish-language commercial community publication; Black Press/Sound Publishing network,1
Spanish-language commercial news publication,1
Spanish-language commercial newspaper/digital newsroom,1
Spanish-language commercial radio network,1
Spanish-language commercial/community radio station,1
Spanish-language community directory/news portal,1
Spanish-language community information hub created by Acción Hispana/Qué Pasa,1
Spanish-language community media,1
Spanish-language community newspaper candidate,1
Spanish-language community newspaper/digital outlet,1
Spanish-language community publication,1
Spanish-language community radio program hosted by WRCT,1
Spanish-language community resource guide tied to Universal Latin News,1
Spanish-language digital Latino news outlet,1
Spanish-language digital community news outlet,1
Spanish-language digital product within The Arizona Republic/Gannett,1
Spanish-language digital site,1
Spanish-language digital/community news outlet,1
Spanish-language digital/community newspaper,1
Spanish-language edition of Garden City Telegram,1
Spanish-language educational/informational television/media program,1
Spanish-language hosted public-affairs program on Avanza,1
Spanish-language hosted public-affairs/news program within Beacon Media,1
Spanish-language hosted public-radio/news partnership,1
Spanish-language hosted radio product within Vermont Public,1
Spanish-language iHeart commercial radio station,1
Spanish-language local community newspaper,1
Spanish-language local newspaper/digital outlet,1
Spanish-language local outlet,1
Spanish-language local radio news outlet,1
Spanish-language local television news program within KWCH,1
Spanish-language local television newsroom owned by NBCUniversal,1
Spanish-language local television newsroom within Flood Communications,1
Spanish-language local television newsroom within Gray Media,1
Spanish-language local television newsroom/network affiliate,1
Spanish-language local television newsroom; Telemundo/NBCUniversal,1
Spanish-language local television newsroom; TelevisaUnivision,1
Spanish-language local television/digital newsroom,1
Spanish-language local-news product within WFMZ,1
Spanish-language local-news product within nonprofit CT Mirror,1
Spanish-language local/community news outlet,1
Spanish-language local/community outlet,1
Spanish-language magazine and online radio,1
Spanish-language media parent/host organization,1
Spanish-language media parent/network,1
Spanish-language network/local-market news presence,1
Spanish-language news product within KUER public radio newsroom,1
Spanish-language newspaper and digital newsroom,1
Spanish-language newspaper based in Florida,1
Spanish-language newspaper identity,1
Spanish-language newspaper published by immigrant-community media practitioner,1
Spanish-language newspaper within Latin Media Northwest LLC,1
Spanish-language newspaper within local media group,1
Spanish-language newspaper/radio/TV network; Horizon Entertainment Inc. d/b/a Lider News,1
Spanish-language newspaper; Latino News LLC,1
Spanish-language newsroom/product within Dallas Morning News,1
Spanish-language newsroom/product within New Hampshire Public Radio,1
Spanish-language online newspaper/digital platform,1
Spanish-language print outlet/market publication,1
Spanish-language print product within Ohio-based La Mega network,1
Spanish-language print/digital community outlet,1
Spanish-language print/digital community publication,1
Spanish-language print/digital news outlet,1
Spanish-language product within Maine Public News Connect,1
Spanish-language product within nonprofit statewide newsroom,1
Spanish-language publication,1
Spanish-language radio and digital media operation,1
Spanish-language radio service within Flood Communications,1
Spanish-language radio service; Ohio-based parent network,1
Spanish-language regional newsroom based in Washington,1
Spanish-language regional newsroom based in Washington DC,1
Spanish-language reporting within nonprofit community radio newsroom,1
Spanish-language statewide community portal,1
Spanish-language statewide digital news/community-information site,1
Spanish-language statewide directory/news portal,1
Spanish-language statewide information/news portal,1
Spanish-language statewide newspaper and online outlet,1
Spanish-language television affiliate/brand,1
Spanish-language television and digital newsroom,1
Spanish-language television outlet listed in Latino-media map,1
Spanish-language television program within El Sol Media Group,1
Spanish-language translated stories within statewide nonprofit newsroom,1
Spanish-language vertical within general nonprofit/state public-media newsroom,1
Spanish-language weekly associated with Dodge City Daily Globe,1
"Spanish-language weekly based in Lawrence, Massachusetts",1
Spanish-language weekly newspaper and digital newsroom,1
Spanish-language weekly newspaper and digital platform run by Acción Hispana,1
Spanish-language weekly newspaper owned by Northwest Arkansas Newspapers LLC,1
Spanish-language weekly newspaper/digital publisher,1
Spanish-language weekly/digital newspaper,1
Spanish-language/Hispanic print-digital publication,1
Ukrainian-language newspaper within multicultural media group,1
Vietnamese community news organization,1
Vietnamese community newspaper; independent branch of Nguoi Viet Daily,1
Vietnamese weekly community newspaper,1
Vietnamese-American radio/television/community media operation,1
Vietnamese-American television/community media product,1
Vietnamese-language community information/news site,1
Vietnamese-language community newspaper,1
Vietnamese-language local edition/site linked to Vietnamese-American publication,1
Vietnamese-language nonprofit digital community news site,1
Vietnamese-language television/radio/media network,1
Vietnamese-language weekly magazine/media product,1
Vietnamese-language weekly within New Mainstream Media,1
Yemeni American bilingual newspaper/digital outlet,1
bilingual Arabic-English weekly newspaper,1
bilingual English-Spanish weekly/digital newsroom,1
bilingual English-Tagalog Filipino-American newspaper/digital outlet,1
bilingual Hispanic community newspaper,1
bilingual Hispanic newspaper/digital outlet,1
bilingual Japanese-English community newspaper,1
bilingual Korean-English newspaper and digital outlet,1
bilingual Latino digital/news brand within Hola America Media Group,1
bilingual Latino digital/news-magazine platform,1
bilingual Latino newspaper and digital outlet,1
bilingual Latino newspaper/digital newsroom,1
bilingual Latino newspaper/media group based in Quad Cities,1
bilingual Latino print/digital publication within Presente Pittsburgh Media LLC,1
bilingual Latino youth/community magazine,1
bilingual Latino/Hispanic print and digital publication,1
bilingual Polish-English digital publication within Polish Media Center,1
bilingual Spanish-English multimedia newsroom,1
bilingual Spanish-English newspaper and digital outlet,1
bilingual Spanish-Portuguese monthly magazine within Hola Latino,1
bilingual community newspaper/digital platform within Pioneer Publishing,1
bilingual community newspaper; nonprofit parent,1
bilingual independent commercial newspaper,1
bilingual news collaborative of The Chicago Reporter and Univision Chicago,1
bilingual print/digital newspaper published by Hola Delaware LLC,1
bilingual public-radio/community media service within University of Utah public media,1
bilingual weekly newspaper within Reyes Media Group,1
bilingual/Spanish community newspaper and digital outlet,1
bilingual/Spanish digital and print newsroom,1
bilingual/Spanish magazine-newspaper and online outlet,1
biweekly Filipino-American publication under Asian Media Network,1
claimed multilingual local-news outlet,1
commercial radio station,1
community access media host/platform,1
community newspaper,1
community nonprofit/information-news platform,1
community radio licensed to Wausau Area Hmong Mutual Association,1
community radio program hosted by Somali American Community,1
community television/digital media network,1
community-centered immigrant newsroom,1
community-led Latine media platform,1
community-led nonprofit-style investigative newsroom,1
community-media discovery lead,1
community-radio host with Hmong programming candidate,1
community-run South Asian news platform,1
corporate/organizational identity associated with Qué Pasa Media,1
diaspora newspaper published by Macedonian Patriotic Organization,1
digital archive/community-history platform,1
family-owned bilingual Hispanic magazine/news network,1
family-run bilingual weekly newspaper,1
former Chinese-language television network,1
former Spanish-language farmworker community radio hosted by PCUN,1
former nonprofit community newsroom,1
free neighborhood/community newspaper,1
fully bilingual digital news platform,1
general English-language local newspaper sharing ownership with La Prensa,1
general independent local newsroom with translated immigration stories,1
grassroots immigrant-worker radio/digital outlet launched by Resistencia en Acción,1
historic Bosnian-language newspaper,1
historic Japanese/Japanese American newspaper,1
historic Spanish-language hosted product in mainstream newspaper,1
historic Spanish-language newsroom,1
historic Spanish-language weekly,1
historic Spanish-language weekly newspaper,1
historic bilingual Spanish-English newspaper,1
historic bilingual local newspaper,1
host portal within Polish Institute of Culture & Research,1
hosted Hispanic-community public-affairs program on NewsChannel 5+,1
hosted Spanish-language information/news partnership,1
hosted community-radio current-affairs program on WBTV-LP,1
hosted refugee/immigrant public-affairs podcast,1
immigrant advocacy coalition information channel,1
immigrant-founded Spanish-language community media outlet,1
immigrant-founded Spanish-language multimedia news organization,1
immigrant-founded multilingual digital/community newsroom,1
immigrant-service organization with Spanish media activity,1
immigrant-support ministry/community information network,1
immigrant/community media project candidate,1
impact-driven nonprofit Latino/community media organization,1
independent Amharic-language local newsroom,1
independent Arabic-English community newspaper,1
independent Asian community newspaper,1
independent English-language TV station since 2025,1
independent English-language immigrant/refugee news publication,1
independent Spanish-language digital newspaper,1
independent Spanish-language local video/streaming newsroom,1
independent Spanish-language newsroom,1
independent Spanish-language print/digital newspaper,1
independent Spanish-language statewide/local digital newsroom,1
independent Spanish-language weekly/digital newspaper,1
independent bilingual Haitian-American newspaper,1
independent minority-owned Spanish-language newspaper,1
independent nonprofit Latine-led newsroom and production hub,1
independent nonprofit Spanish-language digital newsroom,1
independent nonprofit bilingual newsroom,1
independent nonprofit bilingual/digital newsroom,1
independent nonprofit immigrant newsroom,1
independent nonprofit immigrant-journalist news/training organization,1
independent nonprofit immigration newsroom,1
independent online Muslim community newspaper published by Milwaukee Muslim Women's Coalition,1
independent syndicated Arab-American radio talk show,1
independent veteran-owned Latino newspaper,1
independent/community newspaper,1
journalism collaborative/intermediary,1
large Chinese-language commercial newspaper/network,1
large commercial Spanish-language multimedia newsroom; ImpreMedia,1
large commercial Spanish-language newsroom,1
local Korean-language print/digital newspaper,1
local commercial media parent/platform,1
long-running Latino newspaper/digital outlet,1
long-running Spanish-language print/digital newspaper,1
mainstream local newsroom with statutory Spanish legal-notice role,1
mainstream local/state newspaper with some Spanish-language content,1
mainstream public media,1
mainstream public-media newsroom,1
mainstream public-media regional reporting,1
monthly Hispanic community magazine,1
multicultural immigrant-language radio station,1
multilingual African immigrant/diaspora community news site,1
multilingual Asian community newspaper,1
multilingual Asian media parent/host organization,1
multilingual Asian television network,1
multilingual Asian television network serving Seattle market,1
multilingual ethnic-media network/intermediary,1
multilingual news initiative within Maine Public,1
multiplatform bilingual/multicultural news organization,1
national Spanish-language political analysis brand headquartered in DC,1
national multilingual news organization with Chinese-diaspora roots,1
neighborhood storytelling/community platform,1
nonprofit Arabic-language media and service organization,1
nonprofit Japanese-English digital newspaper,1
nonprofit Jewish global news service,1
nonprofit Jewish news organization,1
nonprofit Spanish-language public radio network,1
nonprofit bilingual Chinese-English biweekly newspaper published by Asian American Civic Association,1
nonprofit digital newsroom,1
nonprofit ethnic/community newspaper,1
nonprofit ethnic/minority media network and intermediary,1
nonprofit multilingual community radio,1
nonprofit multilingual immigrant-serving newsroom; program of Ladder to the Moon Network,1
nonprofit newsroom,1
nonprofit/fiscally sponsored multicultural local newsroom,1
online Spanish-language radio,1
parent/host organization for El Tiempo Hispano,1
possible Hmong publication/edition,1
print/digital community publication,1
program-level discovery lead,1
quarterly AAHPI community magazine published by Arizona Asian Chamber,1
radio product within Identidad Latina Multimedia,1
refugee resettlement organization and media host,1
regional Korean-language dailies serving New Jersey,1
regional Spanish-language newspaper serving Gulf Coast markets,1
social-first immigrant/refugee reporting project within New Day Iowa,1
state-listed multicultural media cluster,1
statewide nonprofit newsroom,1
student-led bilingual newspaper,1
supplement/digital products within Washington Hispanic,1
unresolved African-diaspora media candidate,1
unresolved Hmong publication candidate,1
unresolved Hmong radio candidate,1
unresolved Latino community newspaper candidate,1
unresolved Latino digital outlet candidate,1
unresolved Latino digital-news candidate,1
unresolved Latino-media lead,1
unresolved Portuguese/Brazilian media lead,1
unresolved Somali broadcast candidate,1
unresolved Spanish-language broadcast lead,1
unresolved Spanish-language local candidate,1
unresolved Spanish-language media candidate,1
unresolved Spanish-language media lead,1
unresolved Spanish-language newspaper candidate,1
unresolved Spanish-language outlet candidate,1
unresolved Spanish-language regional media candidate,1
unresolved Vietnamese print/digital candidate,1
unresolved community-media lead,1
unresolved diaspora-media lead,1
unresolved refugee-language media lead,1
unresolved refugee/diaspora media lead,1
volunteer-run nonprofit multimedia storytelling organization,1
weekly Kurdish community radio program hosted by WXNA and Kurdish Culture & Music Association,1
weekly bilingual Chinese-American newspaper,1
worker-led immigrant rights organization with bilingual information channels,1
