website_host,n_records,outlet_ids,outlet_names,jurisdictions,eligibility_statuses,institutional_forms,review_type,review_instruction
kchispanicnews.com,2,KS005 | MO002,KC Hispanic News | KC Hispanic News,Kansas | Missouri,multistate_market_case | verified_include,"bilingual weekly newspaper based in Kansas City, Missouri | family-run bilingual weekly newspaper",shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
koreadaily.com,2,CA010 | VA002,Korea Daily / JoongAng Ilbo LA | Korea Daily Washington,California | Virginia,verified_include | verified_include_with_directory_evidence,Korean American newspaper/media network | Korean-language daily/news operation within Korea Daily network,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
koreatimes.com,2,CA009 | NY019,The Korea Times Los Angeles | Korea Times New York,California | New York,verified_include | verified_include_with_secondary_evidence,Korean-language daily newspaper | Korean-language metropolitan daily/edition,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
kzum.org,2,NE006 | NE007,KZUM en Español | Mundo Latino on KZUM,Nebraska,classify_hosted_program_or_duplicate | verified_include_hosted_program,Spanish-language hosted public-radio/news partnership | hosted Spanish-language information/news partnership,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
lamega1.com,2,PA029 | PA021,La Mega Nota - Pittsburgh distribution | La Mega Pittsburgh,Pennsylvania,multistate_market_case,Spanish-language print product within Ohio-based La Mega network | Spanish-language radio service; Ohio-based parent network,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
lanoticia.com,2,NC002 | SC021,La Noticia | La Noticia - Rock Hill/SC market,North Carolina | South Carolina,multistate_market_case | verified_include,North Carolina-based Spanish-language newsroom serving SC market | Spanish-language newspaper and digital newsroom,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
laraza.com,3,IL003 | SC011 | SC012,La Raza | La Raza Charleston | La Raza Columbia,Illinois | South Carolina,verified_include | verified_include_market_case,Spanish-language commercial news publication | Spanish-language commercial radio station within Norsan Media,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
michigankoreans.com,2,MI009 | MI005,MI Asian | Michigan Korean Weekly,Michigan,classify_related_product_pending | immigration and U.S. reporting; publisher/editor named; local address and contact; Korean-community mission,Asian/Korean publication associated with Michigan Korean Weekly | Korean-language weekly/digital newsroom,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
newmainstreammedia.com,4,PA008 | PA010 | PA009 | PA011,Metro Chinese Weekly | Metro Korean News | Metro Viet News | New Mainstream Media / New Mainstream Press,Pennsylvania,classify_intermediary_host | pending_deeper_verification | verified_include,Chinese-language weekly within New Mainstream Media | Korean-language publication within New Mainstream Media | Vietnamese-language weekly within New Mainstream Media | multilingual Asian media parent/host organization,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
newsindiatimes.com,3,NJ005 | NY015 | NY017,News India Times | News India Times | Parikh Worldwide Media,New Jersey | New York,classify_intermediary_host | move_to_new_jersey_or_multistate | verified_include_multiscale,Indian-American media parent/group | Indian-American newspaper within Parikh Worldwide Media | Indian-American weekly within Parikh Worldwide Media,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
nhpr.org,3,NH003 | NH002 | NH001,"Made En NH | Visibles | ¿Qué Hay de Nuevo, New Hampshire?",New Hampshire,verified_include_hosted_language_product | verified_include_hosted_program,Latino community storytelling series within Qué Hay de Nuevo | Latino culture/community series within NHPR Spanish-language initiative | Spanish-language newsroom/product within New Hampshire Public Radio,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
noticiali.com,2,NY008 | NY044,El Correo NY | Noticia Long Island,New York,hold_identity_resolution | pending_deeper_verification,Spanish-language Long Island community newspaper/digital outlet | Spanish-language local outlet,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
polishweekly.com,2,MI014 | MI008,Polish Media Center | The Polish Weekly / Tygodnik Polski,Michigan,classify_intermediary_host | verified_include_hosted_program,bilingual Polish-English digital publication within Polish Media Center | host portal within Polish Institute of Culture & Research,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
thegreatmediagroup.com,3,OR004 | OR003 | OR005,Afisha Magazine | Maidan Newspaper | The Great Radio 1040 AM,Oregon,verified_include,Russian/Ukrainian-language magazine within multicultural media group | Slavic/Eastern European community radio within media group | Ukrainian-language newspaper within multicultural media group,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
univision.com,3,AZ005 | CO008 | PA026,Univision Arizona | Univision Colorado / Denver coverage | Univision 65 / WUVP,Arizona | Colorado | Pennsylvania,pending_deeper_verification | verified_include,Spanish-language local television newsroom/network affiliate | Spanish-language local television newsroom; TelevisaUnivision | Spanish-language network/local-market news presence,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
washingtonhispanic.com,3,DC002 | MD001 | MD007,Washington Hispanic | Washington Hispanic | Washington Hispanic DMV products,District of Columbia | Maryland,classify_hosted_product_or_duplicate | verified_include | verified_include_with_directory_evidence,Spanish-language weekly newspaper and digital newsroom | Spanish-language weekly/digital newspaper | supplement/digital products within Washington Hispanic,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
worldjournal.com,2,CA011 | NY022,World Journal California | World Journal New York,California | New York,verified_include,Chinese-language commercial news organization | large Chinese-language commercial newspaper/network,shared_host_or_possible_duplicate,Do not auto-merge. Determine parent/program/shared-operation/multistate/true-duplicate relationship.
