outlet_id,outlet_name,state,city,website,discovery_source,screening_status
WA001,International Examiner,Washington,Seattle,https://iexaminer.org/,Seattle Office of Immigrant and Refugee Affairs directory,seed_verified_candidate
WA002,Northwest Asian Weekly,Washington,Seattle,https://nwasianweekly.com/,Seattle ethnic media directory / outlet website,seed_verified_candidate
WA003,Seattle Chinese Post,Washington,Seattle,https://seattlechinesepost.com/,Seattle ethnic media directory / outlet website,candidate_verify
WA004,Runta News,Washington,Seattle,https://runtanews.com/,Seattle ethnic media directory / outlet website,candidate_verify
WA005,The North American Post,Washington,Seattle,https://napost.com/,Seattle ethnic media directory / outlet website,candidate_verify
WA006,Northwest Vietnamese News,Washington,Seattle,https://nvnorthwest.com/,Seattle ethnic media directory / outlet website,candidate_verify
WA007,Seattle Chinese Times,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA008,Seattle Viet Times,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA009,Korea Daily Seattle,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA010,La Raza Noroeste,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA011,Actitud Latina,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA012,Crossings TV Seattle,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA013,El Mundo Seattle,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA014,Immigration Matters,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA015,Univision Seattle,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA016,The Voice (Seattle ethnic media listing),Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA017,Filipino American Herald,Washington,Seattle area,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA018,One Philippines,Washington,Seattle area,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA019,Ethiopian Community Media Association,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
WA020,Korean-language Seattle media candidate,Washington,Seattle,,Seattle Office of Immigrant and Refugee Affairs Ethnic Media Program / Seattle Votes partner list,candidate_verify
NC001,Enlace Latino NC,North Carolina,Raleigh,https://enlacelatinonc.org/,Outlet website / American Journalism Project,seed_verified_candidate
NC002,La Noticia,North Carolina,Charlotte,https://lanoticia.com/,Outlet website,seed_verified_candidate
NC003,Qué Pasa / Acción Hispana,North Carolina,,https://accionhispana.org/,Outlet website,candidate_verify
NC004,Hola Carolina,North Carolina,Asheville,https://holacarolina.org/,Outlet website,candidate_verify
NC005,Alianza NC,North Carolina,Chapel Hill,https://www.alianzanc.com/,North Carolina targeted search + outlet websites + NC minority media lists,candidate_verify
NC006,El Faro (Beacon Media NC),North Carolina,,https://www.beaconmedianc.org/el-faro/,North Carolina targeted search + outlet websites + NC minority media lists,candidate_verify
NC007,Asian Herald,North Carolina,Charlotte,,North Carolina targeted search + outlet websites + NC minority media lists,candidate_verify
NC008,Latino Communications / Spanish-language NC candidate,North Carolina,,,North Carolina targeted search + outlet websites + NC minority media lists,candidate_verify
NC009,Mi Gente Newspaper,North Carolina,,,North Carolina targeted search + outlet websites + NC minority media lists,candidate_verify
NC010,Qué Pasa Winston-Salem / Proyecto Mariposa,North Carolina,Winston-Salem,https://accionhispana.org/,North Carolina targeted search + outlet websites + NC minority media lists,candidate_verify
NC011,La Conexión,North Carolina,,,North Carolina targeted search + outlet websites + NC minority media lists,candidate_verify
NC012,Hola News NC candidate,North Carolina,,,North Carolina targeted search + outlet websites + NC minority media lists,candidate_verify
